     Test Category;                 Test Type;  Samples;  Mean (Watt⋅sec);  Score Error (90.0%);  Geometric Mean (Watt⋅sec)
     azul-prime-vm;                 bimorphic;        5;           41.615;                0.717;                     41.609
     azul-prime-vm;            megamorphic_24;        5;          230.575;                2.618;                    230.562
 eclipse-openj9-vm;                 bimorphic;        5;          145.747;                6.179;                    145.635
 eclipse-openj9-vm;            megamorphic_24;        5;          195.799;               12.361;                    195.472
        graalvm-ce;                 bimorphic;        5;           28.885;                0.612;                     28.879
        graalvm-ce;            megamorphic_24;        5;          202.568;                4.781;                    202.518
        graalvm-ee;                 bimorphic;        5;           24.338;                1.127;                     24.315
        graalvm-ee;            megamorphic_24;        5;          195.758;                3.965;                    195.722
      native-image;                 bimorphic;        5;          172.955;                2.685;                    172.937
      native-image;            megamorphic_24;        5;          170.350;                3.677;                    170.315
openjdk-hotspot-vm;                 bimorphic;        5;           22.030;                0.527;                     22.024
openjdk-hotspot-vm;            megamorphic_24;        5;          221.913;                3.160;                    221.893

# Note: The reference baseline is already excluded from this report
