               JVM;                 Test Type;  Run Identifier;  Energy package (Watt second);  Energy RAM (Watt second);  Elapsed (seconds)
     azul-prime-vm;      guarded_parametrized;               1;                       259.380;                    75.680;            105.731
     azul-prime-vm;      guarded_parametrized;               5;                       264.400;                    76.350;            106.229
     azul-prime-vm;      guarded_parametrized;               2;                       257.860;                    75.900;            105.823
     azul-prime-vm;      guarded_parametrized;               3;                       257.540;                    76.190;            106.406
     azul-prime-vm;      guarded_parametrized;               4;                       267.880;                    79.600;            110.689
     azul-prime-vm;    guarded_unparametrized;               2;                       157.570;                    45.980;             67.910
     azul-prime-vm;    guarded_unparametrized;               5;                       161.660;                    47.250;             69.627
     azul-prime-vm;    guarded_unparametrized;               4;                       156.970;                    46.940;             69.452
     azul-prime-vm;    guarded_unparametrized;               3;                       156.750;                    46.120;             68.238
     azul-prime-vm;    guarded_unparametrized;               1;                       158.410;                    46.230;             68.269
     azul-prime-vm;               lambda_heap;               1;                       194.100;                    57.110;             78.940
     azul-prime-vm;               lambda_heap;               5;                       199.200;                    57.320;             79.081
     azul-prime-vm;               lambda_heap;               3;                       197.350;                    57.340;             79.199
     azul-prime-vm;               lambda_heap;               4;                       181.030;                    54.860;             79.439
     azul-prime-vm;               lambda_heap;               2;                       196.720;                    57.060;             78.787
     azul-prime-vm;              lambda_local;               1;                       159.120;                    46.510;             68.793
     azul-prime-vm;              lambda_local;               5;                       160.310;                    46.770;             68.860
     azul-prime-vm;              lambda_local;               3;                       164.830;                    48.480;             71.839
     azul-prime-vm;              lambda_local;               2;                       154.330;                    46.190;             68.349
     azul-prime-vm;              lambda_local;               4;                       173.440;                    50.930;             73.631
     azul-prime-vm;             string_format;               1;                       187.280;                    56.950;             81.709
     azul-prime-vm;             string_format;               3;                       167.560;                    51.420;             75.058
     azul-prime-vm;             string_format;               4;                       178.560;                    53.460;             77.893
     azul-prime-vm;             string_format;               2;                       197.350;                    57.730;             82.521
     azul-prime-vm;             string_format;               5;                       179.540;                    53.060;             76.917
     azul-prime-vm;    unguarded_parametrized;               5;                       268.230;                    77.650;            106.701
     azul-prime-vm;    unguarded_parametrized;               1;                       267.570;                    77.250;            106.242
     azul-prime-vm;    unguarded_parametrized;               4;                       259.790;                    76.960;            105.552
     azul-prime-vm;    unguarded_parametrized;               2;                       266.190;                    77.000;            106.029
     azul-prime-vm;    unguarded_parametrized;               3;                       263.890;                    77.410;            106.781
     azul-prime-vm;  unguarded_unparametrized;               1;                       177.430;                    50.960;             73.501
     azul-prime-vm;  unguarded_unparametrized;               3;                       180.750;                    51.640;             74.744
     azul-prime-vm;  unguarded_unparametrized;               2;                       178.930;                    51.450;             74.382
     azul-prime-vm;  unguarded_unparametrized;               4;                       159.890;                    46.690;             68.875
     azul-prime-vm;  unguarded_unparametrized;               5;                       181.990;                    51.800;             74.712
 eclipse-openj9-vm;      guarded_parametrized;               1;                       218.630;                    62.920;            107.195
 eclipse-openj9-vm;      guarded_parametrized;               2;                       202.920;                    63.410;            106.098
 eclipse-openj9-vm;      guarded_parametrized;               3;                       205.440;                    62.840;            105.907
 eclipse-openj9-vm;      guarded_parametrized;               5;                       223.020;                    65.370;            109.959
 eclipse-openj9-vm;      guarded_parametrized;               4;                       215.370;                    63.130;            104.824
