     Test Category;                 Test Type;  Samples;  Energy Mean (Watt⋅sec);  Energy Score Error (90.0%);  Elapsed Mean (sec);  Elapsed Score Error (90.0%)
     azul-prime-vm;               bubble_sort;        5;                1222.581;                      54.737;            1122.202;                       46.670
     azul-prime-vm;                merge_sort;        5;                  12.004;                       0.082;               6.399;                        0.055
     azul-prime-vm;                quick_sort;        5;                  10.744;                       0.115;               5.864;                        0.077
     azul-prime-vm;                radix_sort;        5;                  11.150;                       0.170;               6.050;                        0.055
 eclipse-openj9-vm;               bubble_sort;        5;                4934.289;                     143.866;            3879.807;                      141.896
 eclipse-openj9-vm;                merge_sort;        5;                  20.212;                       0.965;               9.877;                        0.345
 eclipse-openj9-vm;                quick_sort;        5;                  14.093;                       0.569;               7.132;                        0.249
 eclipse-openj9-vm;                radix_sort;        5;                  14.267;                       0.663;               7.203;                        0.279
        graalvm-ce;               bubble_sort;        5;                1995.895;                      69.314;            1757.084;                       17.015
        graalvm-ce;                merge_sort;        5;                   4.862;                       0.184;               3.116;                        0.057
        graalvm-ce;                quick_sort;        5;                   4.442;                       0.091;               2.788;                        0.022
        graalvm-ce;                radix_sort;        5;                   4.574;                       0.126;               2.955;                        0.024
        graalvm-ee;               bubble_sort;        5;                1967.189;                      63.377;            1707.774;                        3.761
        graalvm-ee;                merge_sort;        5;                   4.735;                       0.165;               3.006;                        0.072
        graalvm-ee;                quick_sort;        5;                   4.466;                       0.078;               2.782;                        0.011
        graalvm-ee;                radix_sort;        5;                   4.578;                       0.146;               2.961;                        0.018
      native-image;               bubble_sort;        5;                1898.806;                      65.044;            1820.682;                       19.816
      native-image;                merge_sort;        5;                   0.343;                       0.060;               0.305;                        0.001
      native-image;                quick_sort;        5;                   0.020;                       0.003;               0.023;                        0.001
      native-image;                radix_sort;        5;                   0.079;                       0.003;               0.100;                        0.005
openjdk-hotspot-vm;               bubble_sort;        5;                1055.413;                      19.182;             902.445;                        4.907
openjdk-hotspot-vm;                merge_sort;        5;                   5.351;                       0.300;               3.345;                        0.174
openjdk-hotspot-vm;                quick_sort;        5;                   4.580;                       0.077;               2.858;                        0.031
openjdk-hotspot-vm;                radix_sort;        5;                   4.801;                       0.142;               3.057;                        0.013

# Note: The reference baseline has already been excluded from the energy scores
