     Test Category;                 Test Type;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Total (Watt⋅sec);  Elapsed (sec)
     azul-prime-vm;      guarded_parametrized;               1;                    259.380;                 75.680;           335.060;        105.731
     azul-prime-vm;      guarded_parametrized;               5;                    264.400;                 76.350;           340.750;        106.229
     azul-prime-vm;      guarded_parametrized;               2;                    257.860;                 75.900;           333.760;        105.823
     azul-prime-vm;      guarded_parametrized;               3;                    257.540;                 76.190;           333.730;        106.406
     azul-prime-vm;      guarded_parametrized;               4;                    267.880;                 79.600;           347.480;        110.689
     azul-prime-vm;    guarded_unparametrized;               2;                    157.570;                 45.980;           203.550;         67.910
     azul-prime-vm;    guarded_unparametrized;               5;                    161.660;                 47.250;           208.910;         69.627
     azul-prime-vm;    guarded_unparametrized;               4;                    156.970;                 46.940;           203.910;         69.452
     azul-prime-vm;    guarded_unparametrized;               3;                    156.750;                 46.120;           202.870;         68.238
     azul-prime-vm;    guarded_unparametrized;               1;                    158.410;                 46.230;           204.640;         68.269
     azul-prime-vm;               lambda_heap;               1;                    194.100;                 57.110;           251.210;         78.940
     azul-prime-vm;               lambda_heap;               5;                    199.200;                 57.320;           256.520;         79.081
     azul-prime-vm;               lambda_heap;               3;                    197.350;                 57.340;           254.690;         79.199
     azul-prime-vm;               lambda_heap;               4;                    181.030;                 54.860;           235.890;         79.439
     azul-prime-vm;               lambda_heap;               2;                    196.720;                 57.060;           253.780;         78.787
     azul-prime-vm;              lambda_local;               1;                    159.120;                 46.510;           205.630;         68.793
     azul-prime-vm;              lambda_local;               5;                    160.310;                 46.770;           207.080;         68.860
     azul-prime-vm;              lambda_local;               3;                    164.830;                 48.480;           213.310;         71.839
     azul-prime-vm;              lambda_local;               2;                    154.330;                 46.190;           200.520;         68.349
     azul-prime-vm;              lambda_local;               4;                    173.440;                 50.930;           224.370;         73.631
     azul-prime-vm;             string_format;               1;                    187.280;                 56.950;           244.230;         81.709
     azul-prime-vm;             string_format;               3;                    167.560;                 51.420;           218.980;         75.058
     azul-prime-vm;             string_format;               4;                    178.560;                 53.460;           232.020;         77.893
     azul-prime-vm;             string_format;               2;                    197.350;                 57.730;           255.080;         82.521
     azul-prime-vm;             string_format;               5;                    179.540;                 53.060;           232.600;         76.917
     azul-prime-vm;    unguarded_parametrized;               5;                    268.230;                 77.650;           345.880;        106.701
     azul-prime-vm;    unguarded_parametrized;               1;                    267.570;                 77.250;           344.820;        106.242
     azul-prime-vm;    unguarded_parametrized;               4;                    259.790;                 76.960;           336.750;        105.552
     azul-prime-vm;    unguarded_parametrized;               2;                    266.190;                 77.000;           343.190;        106.029
     azul-prime-vm;    unguarded_parametrized;               3;                    263.890;                 77.410;           341.300;        106.781
     azul-prime-vm;  unguarded_unparametrized;               1;                    177.430;                 50.960;           228.390;         73.501
     azul-prime-vm;  unguarded_unparametrized;               3;                    180.750;                 51.640;           232.390;         74.744
     azul-prime-vm;  unguarded_unparametrized;               2;                    178.930;                 51.450;           230.380;         74.382
     azul-prime-vm;  unguarded_unparametrized;               4;                    159.890;                 46.690;           206.580;         68.875
