               JVM;     Geometric Mean (Watt second); Normalized Geometric Mean
     azul-prime-vm;                        14406.612;                     0.878
 eclipse-openj9-vm;                        18956.378;                     1.156
        graalvm-ce;                        14581.726;                     0.889
        graalvm-ee;                        11479.355;                     0.700
openjdk-hotspot-vm;                        16400.378;                     1.000


Note: The reference value 'openjdk-hotspot-vm' was considered for the normalized geometric mean
