     Test Category;  Samples;  Mean (Watt⋅sec);  Score Error (90.0%);  Geometric Mean (Watt⋅sec)
     azul-prime-vm;        3;         6000.683;              129.355;                   6000.354
 eclipse-openj9-vm;        3;        10165.730;             1813.309;                  10126.113
        graalvm-ce;        3;        10538.680;              305.753;                  10537.640
        graalvm-ee;        3;         5943.730;             1148.856;                   5916.903
openjdk-hotspot-vm;        3;        12777.602;              738.632;                  12772.657

# Note: The reference baseline is already excluded from this report
