    PID %CPU %MEM   RSS    VSZ   PSS S RBYTES WBYTES   ELAPSED     TIME USER     COMMAND
  44057 1560  7.9 5194268 10150957088 716628 S 6938624 65536 00:23 00:06:09 ionutba+ java
  44057 1563  7.9 5214176 10150957276 1107256 S 6938624 65536 00:24 00:06:29 ionutba+ java
  44057 1572  8.0 5242676 10152608096 715018 S 6975488 65536 00:26 00:06:51 ionutba+ java
  44057 1575  7.9 5213648 10152607872 739537 S 6975488 65536 00:27 00:07:10 ionutba+ java
  44057 1576  7.9 5215556 10152607872 1075172 S 6975488 65536 00:28 00:07:29 ionutba+ java
  44057 1577  7.9 5221616 10152608276 646109 S 6975488 65536 00:29 00:07:49 ionutba+ java
  44057 1571  7.9 5224804 10152607880 1185472 S 6975488 65536 00:31 00:08:07 ionutba+ java
  44057 1532  7.9 5219596 10152607872 1089202 S 6975488 65536 00:32 00:08:12 ionutba+ java
  44057 1486  7.9 5230940 10152624256 1129235 S 6975488 65536 00:33 00:08:15 ionutba+ java
  44057 1437  7.9 5226312 10152624256 1549680 S 6975488 65536 00:34 00:08:15 ionutba+ java
  44057 1390  7.9 5221268 10152624256 1544584 S 6975488 65536 00:35 00:08:16 ionutba+ java
  44057 1348  7.9 5201580 10152624256 1524856 S 6975488 65536 00:36 00:08:16 ionutba+ java
  44057 1307  7.9 5186944 10152624256 1510064 S 6975488 65536 00:38 00:08:17 ionutba+ java
  44057 1268  7.9 5186944 10152624256 1510064 S 6975488 65536 00:39 00:08:17 ionutba+ java
  44057 1232  7.8 5176472 10152624256 1499592 S 6975488 65536 00:40 00:08:17 ionutba+ java
  44057 1247  7.7 5097480 10152624256 783661 S 6975488 65536 00:41 00:08:38 ionutba+ java
  44057 1271  7.8 5126876 10152624284 1123297 S 6975488 65536 00:42 00:09:05 ionutba+ java
  44057 1289  7.8 5174976 10152624364 1063167 S 6975488 65536 00:44 00:09:29 ionutba+ java
  44057 1307  7.9 5189048 10152624256 1270140 S 6975488 65536 00:45 00:09:53 ionutba+ java
  44057 1324  7.9 5210280 10152624280 668898 S 6975488 65536 00:46 00:10:17 ionutba+ java
  44057 1340  7.9 5211276 10152632504 645801 S 6975488 65536 00:47 00:10:41 ionutba+ java
  44057 1354  7.9 5233412 10152674476 693611 S 6975488 65536 00:49 00:11:05 ionutba+ java
  44057 1367  8.0 5257796 10152701160 1119464 S 6975488 86016 00:50 00:11:29 ionutba+ java
  44057 1380  8.0 5291748 10152717440 632742 S 6975488 86016 00:51 00:11:52 ionutba+ java
  44057 1393  8.1 5338068 10152791412 742707 S 6975488 86016 00:52 00:12:15 ionutba+ java
  44057 1404  8.1 5354216 10152791268 951845 S 6975488 86016 00:54 00:12:39 ionutba+ java
  44057 1417  8.1 5336696 10152791184 1268317 S 6975488 86016 00:55 00:13:04 ionutba+ java
  44057 1426  8.1 5363048 10152799360 1162309 S 6975488 86016 00:56 00:13:27 ionutba+ java
  44057 1436  8.1 5355456 10152806536 784541 S 6975488 86016 00:57 00:13:50 ionutba+ java
  44057 1444  8.1 5357520 10152814720 1307872 S 6975488 86016 00:59 00:14:14 ionutba+ java
  44057 1453  8.2 5379384 10152843524 995336 S 6975488 86016 01:00 00:14:36 ionutba+ java
  44057 1464  8.2 5390408 10152850584 1165758 S 6975488 86016 01:01 00:15:01 ionutba+ java
  44057 1472  8.2 5386180 10152858896 785704 S 6975488 86016 01:02 00:15:25 ionutba+ java
  44057 1481  8.2 5387628 10152869220 848047 S 6975488 86016 01:04 00:15:48 ionutba+ java
  44057 1487  8.2 5396668 10152879232 1282077 S 6975488 106496 01:05 00:16:11 ionutba+ java
  44057 1496  8.2 5397384 10152899748 1217084 S 6975488 106496 01:06 00:16:35 ionutba+ java
  44057 1503  8.1 5370400 10152909960 1013507 S 6975488 106496 01:07 00:16:58 ionutba+ java
  44057 1512  8.1 5370576 10152909952 1310841 S 6975488 106496 01:08 00:17:23 ionutba+ java
  44057 1517  8.1 5362624 10152909952 716513 S 6975488 106496 01:10 00:17:45 ionutba+ java
  44057 1524  8.1 5365588 10152909960 1168755 S 6975488 106496 01:11 00:18:09 ionutba+ java
  44057 1531  8.1 5351276 10152910320 774581 S 6975488 106496 01:12 00:18:32 ionutba+ java
  44057 1538  8.1 5324400 10152909952 1292616 S 6975488 106496 01:13 00:18:57 ionutba+ java
  44057 1543  8.1 5351572 10152909952 1226620 S 6975488 106496 01:15 00:19:20 ionutba+ java
  44057 1549  8.1 5359312 10152924288 1172102 S 6975488 106496 01:16 00:19:45 ionutba+ java
  44057 1553  8.2 5391768 10152924288 1361246 S 6975488 106496 01:17 00:20:08 ionutba+ java
  44057 1560  8.2 5400548 10152924288 650174 S 6975488 106496 01:18 00:20:32 ionutba+ java
  44057 1565  8.2 5433808 10152924288 1195889 S 6975488 126976 01:20 00:20:56 ionutba+ java
  44057 1569  8.3 5491576 10152980664 1316644 S 6975488 126976 01:21 00:21:18 ionutba+ java
  44057 1573  8.6 5672016 10153119872 1143006 S 6975488 126976 01:22 00:21:42 ionutba+ java
  44057 1578  8.8 5785952 10153252992 1129369 S 6975488 126976 01:24 00:22:06 ionutba+ java
  44057 1583  9.0 5927880 10153349248 1261722 S 6975488 126976 01:25 00:22:31 ionutba+ java
  44057 1587  9.3 6110672 10153513124 1956129 S 6975488 126976 01:26 00:22:55 ionutba+ java
  44057 1591  9.3 6123444 10153644160 1226787 S 6975488 126976 01:27 00:23:18 ionutba+ java
