          Category;  Run Identifier;  Power (Watt)
      native-image;         default;        68.550
      native-image;         default;        78.320
      native-image;         default;        78.210
      native-image;         default;        79.140
      native-image;         default;        78.880
      native-image;         default;        80.070
      native-image;         default;        77.660
      native-image;         default;        58.920
      native-image;         default;        58.030
      native-image;         default;        72.500
      native-image;         default;        56.080
      native-image;         default;        67.910
      native-image;         default;        59.070
      native-image;         default;        63.270
      native-image;         default;        68.790
      native-image;         default;        68.870
      native-image;         default;        68.530
      native-image;         default;        68.650
      native-image;         default;        69.230
      native-image;         default;        71.220
      native-image;         default;        65.060
      native-image;         default;        61.980
      native-image;         default;        66.550
      native-image;         default;        66.450
      native-image;         default;        72.190
      native-image;         default;        71.670
      native-image;         default;        71.180
      native-image;         default;        72.720
      native-image;         default;        72.600
      native-image;         default;        72.000
      native-image;         default;        72.800
      native-image;         default;        71.720
      native-image;         default;        66.940
      native-image;         default;        66.870
      native-image;         default;        67.410
      native-image;         default;        67.290
      native-image;         default;        65.500
      native-image;         default;        66.490
      native-image;         default;        74.440
      native-image;         default;        74.170
      native-image;         default;        75.210
      native-image;         default;        75.450
      native-image;         default;        75.790
      native-image;         default;        75.840
      native-image;         default;        76.610
      native-image;         default;        76.560
      native-image;         default;        76.410
      native-image;         default;        76.690
      native-image;         default;        76.370
      native-image;         default;        78.680
      native-image;         default;        77.360
      native-image;         default;        77.930
      native-image;         default;        77.280
      native-image;         default;        78.570
      native-image;         default;        78.440
      native-image;         default;        76.720
      native-image;         default;        76.560
      native-image;         default;        78.450
      native-image;         default;        76.730
      native-image;         default;        76.140
      native-image;         default;        65.870
      native-image;         default;        73.460
      native-image;         default;        77.890
      native-image;         default;        78.550
      native-image;         default;        79.000
      native-image;         default;        77.490
      native-image;         default;        78.260
      native-image;         default;        78.200
      native-image;         default;        78.310
      native-image;         default;        79.900
      native-image;         default;        78.180
      native-image;         default;        78.430
      native-image;         default;        78.090
      native-image;         default;        78.290
      native-image;         default;        79.670
      native-image;         default;        78.690
      native-image;         default;        78.620
      native-image;         default;        79.490
      native-image;         default;        77.950
      native-image;         default;        80.560
      native-image;         default;        51.650
      native-image;         default;        34.090
      native-image;         default;        35.780
      native-image;         default;        32.810
      native-image;         default;        33.420
      native-image;         default;        32.110
      native-image;         default;        31.900
      native-image;         default;        33.960
      native-image;         default;        33.180
      native-image;         default;        30.750
      native-image;         default;        32.090
      native-image;         default;        34.940
      native-image;         default;        33.670
      native-image;         default;        32.520
      native-image;         default;        35.840
      native-image;         default;        35.300
      native-image;         default;        32.290
      native-image;         default;        32.540
      native-image;         default;        34.560
      native-image;         default;        33.560
      native-image;         default;        34.610
     azul-prime-vm;         default;        13.130
     azul-prime-vm;         default;        14.920
     azul-prime-vm;         default;        13.080
     azul-prime-vm;         default;        42.840
     azul-prime-vm;         default;        59.470
     azul-prime-vm;         default;        50.840
     azul-prime-vm;         default;        68.600
     azul-prime-vm;         default;        72.830
     azul-prime-vm;         default;        74.510
     azul-prime-vm;         default;        77.560
     azul-prime-vm;         default;        73.920
     azul-prime-vm;         default;        74.420
     azul-prime-vm;         default;        72.270
     azul-prime-vm;         default;        72.030
     azul-prime-vm;         default;        73.100
     azul-prime-vm;         default;        72.150
     azul-prime-vm;         default;        80.150
     azul-prime-vm;         default;        73.500
     azul-prime-vm;         default;        71.410
     azul-prime-vm;         default;        73.050
     azul-prime-vm;         default;        71.030
 eclipse-openj9-vm;         default;        11.120
 eclipse-openj9-vm;         default;         7.270
 eclipse-openj9-vm;         default;         6.800
 eclipse-openj9-vm;         default;        38.120
 eclipse-openj9-vm;         default;        42.470
 eclipse-openj9-vm;         default;        44.480
