          Category;  Run Identifier;  Energy Samples;         Score;       Score Metric
     azul-prime-vm;         default;            7211;        49.844; Energy (Watt⋅hour)
 eclipse-openj9-vm;         default;            7210;        66.500; Energy (Watt⋅hour)
      native-image;        pgo_g1gc;            7209;        73.527; Energy (Watt⋅hour)
        graalvm-ce;         default;            7209;        83.590; Energy (Watt⋅hour)
      native-image;         default;            7209;        65.883; Energy (Watt⋅hour)
openjdk-hotspot-vm;         default;            7209;        83.606; Energy (Watt⋅hour)
    oracle-graalvm;         default;            7209;        82.514; Energy (Watt⋅hour)

# Note: The power reference baseline has already been excluded from the total energy
