          Category;                      Type;  Run Identifier;  Energy Samples; Total Energy (Watt⋅sec)
      native-image;           string_template;         default;            1203;               63040.127
        graalvm-ce;            string_builder;         default;            1203;               56583.597
 eclipse-openj9-vm;             plus_operator;         default;            1204;               41319.155
      native-image;             plus_operator;        pgo_g1gc;            1203;               70624.307
      native-image;            string_builder;        pgo_g1gc;            1203;               62276.317
openjdk-hotspot-vm;            string_builder;         default;            1203;               53231.017
    oracle-graalvm;             plus_operator;         default;            1203;               53498.187
openjdk-hotspot-vm;             plus_operator;         default;            1203;               51909.187
 eclipse-openj9-vm;            string_builder;         default;            1203;               41560.387
openjdk-hotspot-vm;           string_template;         default;            1203;               54721.707
      native-image;             plus_operator;         default;            1203;               64069.947
     azul-prime-vm;            string_builder;         default;            1204;               55546.565
    oracle-graalvm;            string_builder;         default;            1203;               58531.187
    oracle-graalvm;           string_template;         default;            1203;               51262.117
     azul-prime-vm;             plus_operator;         default;            1204;               68097.435
        graalvm-ce;             plus_operator;         default;            1203;               52920.347
        graalvm-ce;           string_template;         default;            1203;               54324.947
      native-image;           string_template;        pgo_g1gc;            1203;               59278.027
     azul-prime-vm;           string_template;         default;            1204;               48120.485
      native-image;            string_builder;         default;            1203;               62984.107
 eclipse-openj9-vm;           string_template;         default;            1204;               42942.045

# Note: The reference baseline has already been excluded from the energy scores
