Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk   SEN2 INT340 TCPU_P iwlwif acpitz   SEN3
16:56:50   0.0   0.0   0.0 100.0   0.0    1    251    271    0    0    0  13.05    0.00   2.65   0.14  10.26  53.05  54.00  41.05  20.00  54.00  64.00  41.05   0.00
16:56:51   0.0   0.0   0.0 100.0   0.0    1    186    106    0    0    0   5.38    0.00   1.22   0.05   4.11  54.05  52.00  41.05  20.00  52.00  55.00  41.05   0.00
16:56:52   0.1   0.0   0.1  99.7   0.1    2    309    165   11    3    3  10.52    0.00   2.60   0.12   7.80  51.05  51.00  41.05  20.00  51.00  55.00  41.05   0.00
16:56:53   4.0   0.0   0.2  95.7   0.0    2   2371    876    6    0    0  39.08    0.00  11.19   5.87  22.02  54.05  54.00  41.05  20.00  54.00  54.00  41.05   0.00
16:56:54   4.0   0.0   0.2  95.8   0.0    2   1246    655    2    0    0  38.90    0.00  11.25   5.86  21.80  53.05  53.00  41.05  20.00  53.00  54.00  41.05   0.00
16:56:55   4.0   0.0   0.2  95.8   0.0    2   1105    590    1    0    0  38.88    0.00  11.27   5.88  21.73  54.05  54.00  41.05  20.00  54.00  55.00  41.05   0.00
16:56:56   4.1   0.0   0.1  95.8   0.0    2    976    555    1    0    0  38.73    0.00  11.23   5.85  21.65  54.05  54.00  41.05  20.00  54.00  55.00  41.05   0.00
16:56:57   4.1   0.0   0.0  95.8   0.0    2   1028    557    0    0    0  39.03    0.00  11.33   5.92  21.78  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
16:56:58   4.2   0.0   0.0  95.8   0.0    2   1070    586    0    0    0  39.89    0.00  11.47   5.90  22.51  55.05  55.00  42.05  20.00  55.00  55.00  41.05   0.00
16:56:59   4.2   0.0   0.0  95.8   0.0    2   1010    541    0    0    0  38.92    0.00  11.29   5.90  21.73  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
16:57:00   4.1   0.0   0.0  95.9   0.0    1    989    556    0    0    0  38.95    0.01  11.30   5.90  21.74  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
16:57:01   4.2   0.0   0.1  95.7   0.0    2    915    570    0    0    0  38.94    0.00  11.30   5.91  21.73  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
16:57:02   4.2   0.0   0.0  95.8   0.0    2   1032    567    0    0    0  39.01    0.00  11.32   5.92  21.77  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
16:57:03   4.1   0.0   0.0  95.8   0.0    2   1324    574    0    0    0  39.05    0.00  11.33   5.93  21.79  54.05  54.00  42.05  20.00  54.00  54.00  41.05   0.00
16:57:04   4.1   0.0   0.0  95.9   0.0    2   1002    549    0    0    0  39.66    0.00  11.43   5.91  22.31  56.05  56.00  42.05  20.00  56.00  54.00  41.05   0.00
16:57:05   4.1   0.0   0.0  95.9   0.0    2   1057    576    0    0    0  40.12    0.00  11.50   5.90  22.71  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
16:57:06   4.2   0.0   0.0  95.8   0.0    2   1073    577    0    0    0  38.97    0.00  11.31   5.91  21.75  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
16:57:07   4.2   0.0   0.0  95.8   0.0    2   1014    575    0    0    0  38.91    0.00  11.29   5.90  21.71  54.05  54.00  42.05  20.00  54.00  55.00  41.05   0.00
