     Test Category;  Samples;  Mean (Watt⋅sec);  Score Error (90.0%);  Geometric Mean (Watt⋅sec);  Normalized Geometric Mean
     azul-prime-vm;        4;        18126.628;          ± 18921.420;                  14406.612;                      0.878
 eclipse-openj9-vm;        4;        22177.583;          ± 18753.229;                  18956.378;                      1.156
        graalvm-ce;        4;        17629.138;          ± 15361.142;                  14581.726;                      0.889
        graalvm-ee;        4;        14500.458;          ± 15125.231;                  11479.355;                      0.700
openjdk-hotspot-vm;        4;        19463.515;          ± 15581.732;                  16400.378;                      1.000

# Note: The reference value 'openjdk-hotspot-vm' was considered for the normalized geometric mean
