     Test Category;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Total (Watt⋅sec);  Elapsed (sec)
     azul-prime-vm;             web;                   8419.760;               2734.710;         11154.470;       3142.836
     azul-prime-vm;           scala;                   7303.760;               2464.320;          9768.080;       3142.581
     azul-prime-vm;     concurrency;                  30723.050;              11496.630;         42219.680;      11525.135
     azul-prime-vm;      functional;                   6735.910;               2628.370;          9364.280;       3242.559
 eclipse-openj9-vm;      functional;                  10653.720;               4150.410;         14804.130;       5750.138
 eclipse-openj9-vm;             web;                   9191.350;               2321.440;         11512.790;       3596.387
 eclipse-openj9-vm;           scala;                  12507.430;               4005.850;         16513.280;       6382.233
 eclipse-openj9-vm;     concurrency;                  35228.180;              10651.950;         45880.130;      13093.132
        graalvm-ce;           scala;                   6261.190;               1949.160;          8210.350;       2866.601
        graalvm-ce;             web;                   6930.230;               1834.600;          8764.830;       2663.926
        graalvm-ce;     concurrency;                  26843.330;               9330.670;         36174.000;      10267.162
        graalvm-ce;      functional;                  12786.890;               4580.480;         17367.370;       6685.162
        graalvm-ee;             web;                   5561.460;               1560.400;          7121.860;       2197.000
        graalvm-ee;      functional;                   7159.350;               2639.380;          9798.730;       3614.217
        graalvm-ee;           scala;                   5587.430;               1797.020;          7384.450;       2650.356
        graalvm-ee;     concurrency;                  24614.870;               9081.920;         33696.790;       9305.810
openjdk-hotspot-vm;     concurrency;                  27953.380;               9648.240;         37601.620;      10379.101
openjdk-hotspot-vm;      functional;                  15552.920;               5370.580;         20923.500;       8178.429
openjdk-hotspot-vm;             web;                   6716.620;               1744.870;          8461.490;       2620.837
openjdk-hotspot-vm;           scala;                   8216.940;               2650.510;         10867.450;       4036.825
