          Category;                      Type;  Run Identifier;         Score;          Score Metric
    oracle-graalvm;           string_template;         default;   4958411.013;  Throughput (ops/sec)
 eclipse-openj9-vm;            string_builder;         default;   1571736.235;  Throughput (ops/sec)
        graalvm-ce;            string_builder;         default;   2763264.397;  Throughput (ops/sec)
     azul-prime-vm;           string_template;         default;   6611413.120;  Throughput (ops/sec)
     azul-prime-vm;             plus_operator;         default;   4152097.595;  Throughput (ops/sec)
 eclipse-openj9-vm;             plus_operator;         default;   2263204.179;  Throughput (ops/sec)
openjdk-hotspot-vm;            string_builder;         default;   2958439.775;  Throughput (ops/sec)
      native-image;             plus_operator;         default;   5569495.237;  Throughput (ops/sec)
     azul-prime-vm;            string_builder;         default;   4398034.248;  Throughput (ops/sec)
      native-image;           string_template;             pgo;   4339944.078;  Throughput (ops/sec)
      native-image;             plus_operator;             pgo;   5545929.705;  Throughput (ops/sec)
      native-image;            string_builder;         default;   5144509.865;  Throughput (ops/sec)
        graalvm-ce;             plus_operator;         default;   4353677.725;  Throughput (ops/sec)
 eclipse-openj9-vm;           string_template;         default;   2373903.218;  Throughput (ops/sec)
      native-image;            string_builder;             pgo;   4967684.805;  Throughput (ops/sec)
        graalvm-ce;           string_template;         default;   4349426.539;  Throughput (ops/sec)
      native-image;           string_template;         default;   3439966.438;  Throughput (ops/sec)
    oracle-graalvm;            string_builder;         default;   3107962.086;  Throughput (ops/sec)
    oracle-graalvm;             plus_operator;         default;   4940063.245;  Throughput (ops/sec)
openjdk-hotspot-vm;           string_template;         default;   5281181.965;  Throughput (ops/sec)
openjdk-hotspot-vm;             plus_operator;         default;   4308484.996;  Throughput (ops/sec)
