          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
     azul-prime-vm;           string_template;         default;            1204;     48120.485;  Energy (Watt⋅sec)
openjdk-hotspot-vm;             plus_operator;         default;            1203;     51909.187;  Energy (Watt⋅sec)
        graalvm-ce;             plus_operator;         default;            1203;     52920.347;  Energy (Watt⋅sec)
 eclipse-openj9-vm;           string_template;         default;            1204;     42942.045;  Energy (Watt⋅sec)
openjdk-hotspot-vm;           string_template;         default;            1203;     54721.707;  Energy (Watt⋅sec)
 eclipse-openj9-vm;             plus_operator;         default;            1204;     41319.155;  Energy (Watt⋅sec)
 eclipse-openj9-vm;            string_builder;         default;            1203;     41560.387;  Energy (Watt⋅sec)
    oracle-graalvm;             plus_operator;         default;            1203;     53498.187;  Energy (Watt⋅sec)
      native-image;             plus_operator;         default;            1203;     64069.947;  Energy (Watt⋅sec)
    oracle-graalvm;           string_template;         default;            1203;     51262.117;  Energy (Watt⋅sec)
        graalvm-ce;            string_builder;         default;            1203;     56583.597;  Energy (Watt⋅sec)
     azul-prime-vm;            string_builder;         default;            1204;     55546.565;  Energy (Watt⋅sec)
openjdk-hotspot-vm;            string_builder;         default;            1203;     53231.017;  Energy (Watt⋅sec)
    oracle-graalvm;            string_builder;         default;            1203;     58531.187;  Energy (Watt⋅sec)
      native-image;             plus_operator;             pgo;            1203;     70624.307;  Energy (Watt⋅sec)
      native-image;           string_template;         default;            1203;     63040.127;  Energy (Watt⋅sec)
      native-image;            string_builder;         default;            1203;     62984.107;  Energy (Watt⋅sec)
     azul-prime-vm;             plus_operator;         default;            1204;     68097.435;  Energy (Watt⋅sec)
        graalvm-ce;           string_template;         default;            1203;     54324.947;  Energy (Watt⋅sec)
      native-image;           string_template;             pgo;            1203;     59278.027;  Energy (Watt⋅sec)
      native-image;            string_builder;             pgo;            1203;     62276.317;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
