          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
      native-image;             plus_operator;         default;              34;      3031.563;  Energy (Watt⋅sec)
 eclipse-openj9-vm;            string_builder;         default;               6;       172.035;  Energy (Watt⋅sec)
 eclipse-openj9-vm;             plus_operator;         default;               6;       185.245;  Energy (Watt⋅sec)
     azul-prime-vm;            string_builder;         default;               9;       614.747;  Energy (Watt⋅sec)
     azul-prime-vm;           string_template;         default;               8;       518.070;  Energy (Watt⋅sec)
     azul-prime-vm;             plus_operator;         default;               7;       418.272;  Energy (Watt⋅sec)
      native-image;           string_template;         default;              36;      3163.058;  Energy (Watt⋅sec)
    oracle-graalvm;             plus_operator;         default;               5;       169.957;  Energy (Watt⋅sec)
 eclipse-openj9-vm;           string_template;         default;               6;       167.285;  Energy (Watt⋅sec)
        graalvm-ce;            string_builder;         default;               5;       177.357;  Energy (Watt⋅sec)
openjdk-hotspot-vm;             plus_operator;         default;               4;       112.260;  Energy (Watt⋅sec)
        graalvm-ce;             plus_operator;         default;               4;       113.130;  Energy (Watt⋅sec)
        graalvm-ce;           string_template;         default;               4;       113.350;  Energy (Watt⋅sec)
      native-image;            string_builder;         default;              36;      3209.208;  Energy (Watt⋅sec)
openjdk-hotspot-vm;            string_builder;         default;               4;       115.320;  Energy (Watt⋅sec)
      native-image;             plus_operator;             pgo;              85;      7052.304;  Energy (Watt⋅sec)
openjdk-hotspot-vm;           string_template;         default;               4;       116.260;  Energy (Watt⋅sec)
    oracle-graalvm;            string_builder;         default;               5;       183.507;  Energy (Watt⋅sec)
      native-image;            string_builder;             pgo;              86;      7161.231;  Energy (Watt⋅sec)
      native-image;           string_template;             pgo;              85;      7131.834;  Energy (Watt⋅sec)
    oracle-graalvm;           string_template;         default;               5;       165.317;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
