          Category;                      Type;  Run Identifier;         Score;          Score Metric
        graalvm-ce;                    linear;         default;         2.662;  Throughput (ops/sec)
      native-image;                    linear;         default;         1.917;  Throughput (ops/sec)
     azul-prime-vm;               random_page;         default;         0.831;  Throughput (ops/sec)
openjdk-hotspot-vm;               random_page;         default;         1.164;  Throughput (ops/sec)
openjdk-hotspot-vm;               random_heap;         default;         0.149;  Throughput (ops/sec)
     azul-prime-vm;                    linear;         default;         1.673;  Throughput (ops/sec)
        graalvm-ce;               random_heap;         default;         0.156;  Throughput (ops/sec)
 eclipse-openj9-vm;               random_page;         default;         0.776;  Throughput (ops/sec)
      native-image;               random_heap;        pgo_g1gc;         0.101;  Throughput (ops/sec)
 eclipse-openj9-vm;               random_heap;         default;         0.251;  Throughput (ops/sec)
    oracle-graalvm;               random_page;         default;         1.083;  Throughput (ops/sec)
      native-image;               random_heap;         default;         0.156;  Throughput (ops/sec)
      native-image;               random_page;        pgo_g1gc;         0.337;  Throughput (ops/sec)
      native-image;                    linear;        pgo_g1gc;         1.290;  Throughput (ops/sec)
    oracle-graalvm;                    linear;         default;         2.776;  Throughput (ops/sec)
openjdk-hotspot-vm;                    linear;         default;         2.798;  Throughput (ops/sec)
      native-image;               random_page;         default;         0.913;  Throughput (ops/sec)
    oracle-graalvm;               random_heap;         default;         0.131;  Throughput (ops/sec)
     azul-prime-vm;               random_heap;         default;         0.124;  Throughput (ops/sec)
        graalvm-ce;               random_page;         default;         1.081;  Throughput (ops/sec)
 eclipse-openj9-vm;                    linear;         default;         2.873;  Throughput (ops/sec)
