          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;               random_heap;         default;                 14;       105.880;  Power (Watt)
      native-image;               random_heap;         default;                 15;       100.110;  Power (Watt)
      native-image;               random_heap;         default;                 16;        97.960;  Power (Watt)
      native-image;               random_heap;         default;                 17;       101.480;  Power (Watt)
      native-image;               random_heap;         default;                 18;       112.460;  Power (Watt)
      native-image;               random_heap;         default;                 19;       105.800;  Power (Watt)
      native-image;               random_heap;         default;                 20;       105.030;  Power (Watt)
      native-image;               random_heap;         default;                 21;       103.120;  Power (Watt)
      native-image;               random_heap;         default;                 22;       109.600;  Power (Watt)
      native-image;               random_heap;         default;                 23;       104.930;  Power (Watt)
      native-image;               random_heap;         default;                 24;       105.370;  Power (Watt)
      native-image;               random_heap;         default;                 25;       104.700;  Power (Watt)
      native-image;               random_heap;         default;                 26;       107.480;  Power (Watt)
      native-image;               random_heap;         default;                 27;       104.730;  Power (Watt)
      native-image;               random_heap;         default;                 28;       105.950;  Power (Watt)
      native-image;               random_heap;         default;                 29;       107.300;  Power (Watt)
      native-image;               random_heap;         default;                 30;       108.650;  Power (Watt)
      native-image;               random_heap;         default;                 31;       109.110;  Power (Watt)
      native-image;               random_heap;         default;                 32;       109.960;  Power (Watt)
      native-image;               random_heap;         default;                 33;        95.390;  Power (Watt)
      native-image;               random_heap;         default;                 34;       106.920;  Power (Watt)
      native-image;               random_heap;         default;                 35;        99.380;  Power (Watt)
      native-image;               random_heap;         default;                 36;       107.900;  Power (Watt)
      native-image;               random_heap;         default;                 37;       107.200;  Power (Watt)
        graalvm-ce;               random_heap;         default;                  1;        17.940;  Power (Watt)
        graalvm-ce;               random_heap;         default;                  2;        13.370;  Power (Watt)
        graalvm-ce;               random_heap;         default;                  3;        13.620;  Power (Watt)
        graalvm-ce;               random_heap;         default;                  4;        74.060;  Power (Watt)
        graalvm-ce;               random_heap;         default;                  5;       111.600;  Power (Watt)
      native-image;                    linear;         default;                  1;        18.040;  Power (Watt)
      native-image;                    linear;         default;                  2;        17.210;  Power (Watt)
      native-image;                    linear;         default;                  3;        17.380;  Power (Watt)
      native-image;                    linear;         default;                  4;        74.190;  Power (Watt)
      native-image;                    linear;         default;                  5;        80.720;  Power (Watt)
      native-image;                    linear;         default;                  6;        84.110;  Power (Watt)
      native-image;                    linear;         default;                  7;       103.810;  Power (Watt)
      native-image;                    linear;         default;                  8;        93.720;  Power (Watt)
      native-image;                    linear;         default;                  9;       120.090;  Power (Watt)
      native-image;                    linear;         default;                 10;       107.700;  Power (Watt)
      native-image;                    linear;         default;                 11;       105.680;  Power (Watt)
      native-image;                    linear;         default;                 12;       105.930;  Power (Watt)
      native-image;                    linear;         default;                 13;       106.990;  Power (Watt)
      native-image;                    linear;         default;                 14;        98.720;  Power (Watt)
      native-image;                    linear;         default;                 15;       100.140;  Power (Watt)
      native-image;                    linear;         default;                 16;       103.710;  Power (Watt)
      native-image;                    linear;         default;                 17;       110.700;  Power (Watt)
      native-image;                    linear;         default;                 18;       106.530;  Power (Watt)
      native-image;                    linear;         default;                 19;       105.000;  Power (Watt)
      native-image;                    linear;         default;                 20;       100.070;  Power (Watt)
      native-image;                    linear;         default;                 21;       113.640;  Power (Watt)
      native-image;                    linear;         default;                 22;       104.900;  Power (Watt)
      native-image;                    linear;         default;                 23;       105.300;  Power (Watt)
      native-image;                    linear;         default;                 24;       104.730;  Power (Watt)
      native-image;                    linear;         default;                 25;       106.330;  Power (Watt)
      native-image;                    linear;         default;                 26;       106.920;  Power (Watt)
      native-image;                    linear;         default;                 27;       106.440;  Power (Watt)
      native-image;                    linear;         default;                 28;       107.250;  Power (Watt)
      native-image;                    linear;         default;                 29;       107.360;  Power (Watt)
      native-image;                    linear;         default;                 30;       107.560;  Power (Watt)
      native-image;                    linear;         default;                 31;       108.490;  Power (Watt)
      native-image;                    linear;         default;                 32;       106.800;  Power (Watt)
      native-image;                    linear;         default;                 33;       101.120;  Power (Watt)
      native-image;                    linear;         default;                 34;        98.120;  Power (Watt)
      native-image;                    linear;         default;                 35;        95.950;  Power (Watt)
      native-image;                    linear;         default;                 36;        92.120;  Power (Watt)
      native-image;                    linear;         default;                 37;        82.810;  Power (Watt)
      native-image;                    linear;         default;                 38;        69.440;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  1;        15.930;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  2;        13.400;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  3;        13.880;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  4;       108.730;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  5;       108.230;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  6;       104.380;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  7;       107.880;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  8;       106.160;  Power (Watt)
     azul-prime-vm;               random_page;         default;                  9;        75.070;  Power (Watt)
    oracle-graalvm;               random_heap;         default;                  1;        15.020;  Power (Watt)
    oracle-graalvm;               random_heap;         default;                  2;        13.160;  Power (Watt)
    oracle-graalvm;               random_heap;         default;                  3;        13.730;  Power (Watt)
    oracle-graalvm;               random_heap;         default;                  4;        80.510;  Power (Watt)
    oracle-graalvm;               random_heap;         default;                  5;        86.550;  Power (Watt)
    oracle-graalvm;               random_page;         default;                  1;        14.680;  Power (Watt)
    oracle-graalvm;               random_page;         default;                  2;        13.230;  Power (Watt)
    oracle-graalvm;               random_page;         default;                  3;        15.890;  Power (Watt)
    oracle-graalvm;               random_page;         default;                  4;        76.810;  Power (Watt)
    oracle-graalvm;               random_page;         default;                  5;       104.460;  Power (Watt)
      native-image;               random_page;             pgo;                  1;         6.250;  Power (Watt)
      native-image;               random_page;             pgo;                  2;         5.230;  Power (Watt)
      native-image;               random_page;             pgo;                  3;         7.630;  Power (Watt)
      native-image;               random_page;             pgo;                  4;        77.350;  Power (Watt)
      native-image;               random_page;             pgo;                  5;        73.250;  Power (Watt)
      native-image;               random_page;             pgo;                  6;        76.620;  Power (Watt)
      native-image;               random_page;             pgo;                  7;        75.910;  Power (Watt)
      native-image;               random_page;             pgo;                  8;       106.490;  Power (Watt)
      native-image;               random_page;             pgo;                  9;        77.730;  Power (Watt)
      native-image;               random_page;             pgo;                 10;       114.380;  Power (Watt)
      native-image;               random_page;             pgo;                 11;       109.710;  Power (Watt)
      native-image;               random_page;             pgo;                 12;       103.270;  Power (Watt)
      native-image;               random_page;             pgo;                 13;       103.500;  Power (Watt)
      native-image;               random_page;             pgo;                 14;       101.540;  Power (Watt)
      native-image;               random_page;             pgo;                 15;       104.880;  Power (Watt)
      native-image;               random_page;             pgo;                 16;       105.870;  Power (Watt)
      native-image;               random_page;             pgo;                 17;       103.990;  Power (Watt)
      native-image;               random_page;             pgo;                 18;        99.190;  Power (Watt)
      native-image;               random_page;             pgo;                 19;        99.060;  Power (Watt)
      native-image;               random_page;             pgo;                 20;       108.880;  Power (Watt)
      native-image;               random_page;             pgo;                 21;        99.950;  Power (Watt)
      native-image;               random_page;             pgo;                 22;       103.960;  Power (Watt)
      native-image;               random_page;             pgo;                 23;       102.200;  Power (Watt)
      native-image;               random_page;             pgo;                 24;       102.240;  Power (Watt)
      native-image;               random_page;             pgo;                 25;       102.000;  Power (Watt)
      native-image;               random_page;             pgo;                 26;       101.880;  Power (Watt)
      native-image;               random_page;             pgo;                 27;        98.410;  Power (Watt)
      native-image;               random_page;             pgo;                 28;        98.000;  Power (Watt)
      native-image;               random_page;             pgo;                 29;       102.340;  Power (Watt)
      native-image;               random_page;             pgo;                 30;        80.810;  Power (Watt)
      native-image;               random_page;             pgo;                 31;        51.990;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  1;        15.840;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  2;        16.930;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  3;        13.560;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  4;       109.320;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  5;       108.420;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  6;       105.060;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  7;       108.550;  Power (Watt)
     azul-prime-vm;               random_heap;         default;                  8;        92.780;  Power (Watt)
openjdk-hotspot-vm;               random_page;         default;                  1;        16.170;  Power (Watt)
openjdk-hotspot-vm;               random_page;         default;                  2;        14.330;  Power (Watt)
openjdk-hotspot-vm;               random_page;         default;                  3;        26.530;  Power (Watt)
openjdk-hotspot-vm;               random_page;         default;                  4;       115.800;  Power (Watt)
