          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
      native-image;               random_heap;             pgo;              79;      6907.709;  Energy (Watt⋅sec)
      native-image;               random_page;         default;              36;      3189.728;  Energy (Watt⋅sec)
 eclipse-openj9-vm;               random_page;         default;               5;       176.017;  Energy (Watt⋅sec)
      native-image;               random_heap;         default;              36;      3180.018;  Energy (Watt⋅sec)
        graalvm-ce;               random_heap;         default;               5;       203.187;  Energy (Watt⋅sec)
      native-image;                    linear;         default;              36;      3192.338;  Energy (Watt⋅sec)
     azul-prime-vm;               random_page;         default;               9;       582.877;  Energy (Watt⋅sec)
    oracle-graalvm;               random_heap;         default;               5;       178.017;  Energy (Watt⋅sec)
    oracle-graalvm;               random_page;         default;               5;       202.717;  Energy (Watt⋅sec)
      native-image;               random_page;             pgo;              86;      7144.751;  Energy (Watt⋅sec)
     azul-prime-vm;               random_heap;         default;               7;       406.712;  Energy (Watt⋅sec)
openjdk-hotspot-vm;               random_page;         default;               4;       113.800;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                    linear;         default;               6;       246.445;  Energy (Watt⋅sec)
      native-image;                    linear;             pgo;              83;      6922.819;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                    linear;         default;               4;       112.480;  Energy (Watt⋅sec)
        graalvm-ce;                    linear;         default;               4;       113.470;  Energy (Watt⋅sec)
openjdk-hotspot-vm;               random_heap;         default;               4;       112.790;  Energy (Watt⋅sec)
    oracle-graalvm;                    linear;         default;               5;       159.427;  Energy (Watt⋅sec)
 eclipse-openj9-vm;               random_heap;         default;               5;       226.587;  Energy (Watt⋅sec)
        graalvm-ce;               random_page;         default;               4;       114.920;  Energy (Watt⋅sec)
     azul-prime-vm;                    linear;         default;               9;       616.027;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
