Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,224237,11,4,23,54,107,0,1532,"3,82%","8,5","25,4","23,09"
Vets Page,224136,12,5,21,62,108,0,1149,"3,80%","8,5","33,5","28,15"
CSS,224029,80,23,248,339,515,0,1271,"3,80%","8,5","1656,9","114,42"
JS,223973,27,9,88,106,181,0,680,"3,80%","8,5","643,1","40,86"
POST New Owner,223849,417,53,1368,1896,3307,0,11691,"3,82%","8,5","31,0","709,39"
POST New Owner-0,215370,348,15,1207,1692,3034,1,8755,"0,00%","8,1","1,5","634,94"
POST New Owner-1,215370,80,7,220,363,1225,0,9980,"0,03%","8,1","28,6","243,45"
GET Owner,223768,53,7,106,240,872,0,12540,"3,87%","8,5","29,4","192,63"
GET Find Owner,223728,12,5,25,55,107,0,337,"3,81%","8,5","29,7","22,41"
"GET Find Owner with lastname=""""",223550,621,341,1580,2127,3348,8,7733,"3,80%","8,4","1286,5","724,16"
POST Update Owner,223385,343,39,1132,1646,2941,0,11299,"3,85%","8,4","31,0","627,87"
POST Update Owner-0,214839,270,12,946,1412,2480,1,7662,"0,00%","8,1","1,5","535,03"
POST Update Owner-1,214839,82,7,212,373,1291,0,7367,"0,02%","8,1","28,7","253,95"
POST New Pet,223280,132,15,224,697,2319,0,12138,"3,83%","8,4","36,7","426,99"
POST New Pet-0,214731,72,6,140,386,1361,0,7273,"0,00%","8,1","1,5","257,70"
POST New Pet-1,214731,60,6,66,275,1364,0,7480,"0,00%","8,1","34,4","248,99"
GET New Pet,223214,137,13,420,725,1771,0,6940,"3,83%","8,4","39,8","350,59"
TOTAL,3751029,162,11,466,992,2199,0,12540,"2,51%","141,8","3939,0","435,13"
