Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,3,3,7,9,17,0,67,"0,00%","17,3","52,3","3,24"
Vets Page,25000,5,4,9,12,21,1,457,"0,00%","17,3","69,5","5,60"
CSS,25000,43,17,122,133,151,6,182,"0,00%","17,3","3520,9","45,15"
JS,25000,12,7,34,41,51,2,134,"0,00%","17,3","1365,9","12,56"
POST New Owner,25000,25,8,20,31,669,2,1395,"0,00%","17,3","64,2","106,56"
POST New Owner-0,25000,16,4,11,18,493,1,1259,"0,00%","17,3","3,3","83,35"
POST New Owner-1,25000,8,3,9,15,157,1,1055,"0,00%","17,3","60,9","37,60"
GET Owner,25000,5,3,8,13,42,1,1173,"0,00%","17,3","60,9","22,15"
GET Find Owner,25000,4,3,8,12,21,1,61,"0,00%","17,3","61,6","4,03"
"GET Find Owner with lastname=""""",25000,342,215,872,1058,1328,13,1789,"0,00%","17,3","2931,7","339,70"
POST Update Owner,25000,142,14,515,697,971,3,1422,"0,00%","17,3","64,4","236,12"
POST Update Owner-0,25000,113,7,429,612,847,1,1245,"0,00%","17,3","3,3","205,07"
POST Update Owner-1,25000,28,4,68,166,430,1,1082,"0,00%","17,3","61,2","82,89"
POST New Pet,25000,16,8,23,33,233,2,1183,"0,00%","17,3","76,7","50,57"
POST New Pet-0,25000,10,4,12,20,159,1,1176,"0,00%","17,3","3,3","40,58"
POST New Pet-1,25000,6,4,11,16,45,1,702,"0,00%","17,3","73,4","17,40"
GET New Pet,25000,8,6,14,20,44,2,639,"0,00%","17,3","83,2","12,48"
TOTAL,425000,46,6,87,300,819,0,1789,"0,00%","293,8","8539,1","146,50"
