Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,7,4,16,26,77,1,212,"0,00%","13,6","41,2","14,55"
Vets Page,25000,8,4,15,31,97,1,229,"0,00%","13,6","54,7","17,45"
CSS,25000,23,14,51,71,145,6,304,"0,00%","13,6","2772,4","26,94"
JS,25000,10,6,19,33,99,2,253,"0,00%","13,6","1075,1","17,18"
POST New Owner,25000,218,27,753,970,1388,4,2475,"0,00%","13,6","50,5","336,49"
POST New Owner-0,25000,189,13,678,912,1333,2,1947,"0,00%","13,6","2,6","315,47"
POST New Owner-1,25000,28,8,45,113,443,2,1266,"0,00%","13,6","48,0","78,49"
GET Owner,25000,25,7,30,76,483,2,1756,"0,00%","13,6","48,0","94,22"
GET Find Owner,25000,7,4,14,22,70,1,203,"0,00%","13,6","48,5","12,43"
"GET Find Owner with lastname=""""",25000,673,570,1502,1746,2117,6,2967,"0,00%","13,6","2306,4","545,80"
POST Update Owner,25000,155,16,523,797,1570,5,2538,"0,00%","13,6","50,7","314,13"
POST Update Owner-0,25000,127,8,451,692,1460,2,1959,"0,00%","13,6","2,6","277,06"
POST Update Owner-1,25000,27,6,37,95,560,2,1881,"0,00%","13,6","48,1","97,34"
POST New Pet,25000,98,16,125,802,1402,5,2301,"0,00%","13,6","60,4","271,09"
POST New Pet-0,25000,74,8,77,637,1245,2,2267,"0,00%","13,6","2,6","234,94"
POST New Pet-1,25000,23,7,27,55,505,2,1946,"0,00%","13,6","57,8","83,73"
GET New Pet,25000,110,12,427,792,1302,4,2197,"0,00%","13,6","65,5","271,56"
TOTAL,425000,106,9,347,743,1454,1,2967,"0,00%","231,5","6726,2","280,48"
