Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,4,3,9,12,24,0,65,"0,00%","18,9","56,9","4,43"
Vets Page,25000,4,4,9,12,20,1,350,"0,00%","18,9","75,7","4,71"
CSS,25000,18,13,34,50,89,6,149,"0,00%","18,9","3836,6","15,69"
JS,25000,7,6,13,17,28,2,68,"0,00%","18,9","1488,3","4,92"
POST New Owner,25000,26,9,27,117,421,3,1086,"0,00%","18,9","69,9","74,30"
POST New Owner-0,25000,19,5,17,91,367,1,823,"0,00%","18,9","3,6","63,87"
POST New Owner-1,25000,6,3,10,15,89,1,478,"0,00%","18,9","66,4","21,83"
GET Owner,25000,12,4,10,20,296,1,774,"0,00%","18,9","66,4","52,14"
GET Find Owner,25000,4,3,8,11,21,0,77,"0,00%","18,9","67,1","3,89"
"GET Find Owner with lastname=""""",25000,208,137,485,620,849,8,1172,"0,00%","18,9","3192,7","195,79"
POST Update Owner,25000,33,9,53,186,502,3,1148,"0,00%","18,9","70,2","90,39"
POST Update Owner-0,25000,25,5,40,156,413,1,934,"0,00%","18,9","3,6","74,26"
POST Update Owner-1,25000,8,3,10,17,133,1,610,"0,00%","18,9","66,6","29,44"
POST New Pet,25000,17,8,18,29,265,3,1053,"0,00%","18,9","83,6","53,36"
POST New Pet-0,25000,9,4,10,17,164,1,785,"0,00%","18,9","3,6","34,64"
POST New Pet-1,25000,7,4,9,14,77,1,680,"0,00%","18,9","80,0","26,36"
GET New Pet,25000,21,6,18,80,373,2,1078,"0,00%","18,9","90,6","65,25"
TOTAL,425000,25,5,30,130,455,0,1172,"0,00%","320,1","9301,7","81,03"
