Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25028,4,3,7,11,22,0,1019,"0,11%","19,2","57,9","33,71"
Vets Page,25022,5,3,8,11,20,1,1006,"0,09%","19,2","76,9","29,99"
CSS,25016,16,12,28,39,78,6,1005,"0,06%","19,2","3899,1","28,08"
JS,25010,7,5,12,15,25,2,1007,"0,04%","19,2","1513,7","20,40"
POST New Owner,25004,19,8,20,45,315,3,1014,"0,02%","19,2","71,2","54,29"
POST New Owner-0,25000,12,4,12,30,250,1,740,"0,00%","19,4","3,7","42,76"
POST New Owner-1,25000,6,3,8,13,65,1,414,"0,00%","19,4","68,4","18,13"
GET Owner,25000,9,4,10,16,237,1,674,"0,00%","19,4","68,4","39,25"
GET Find Owner,25000,3,3,7,10,17,1,51,"0,00%","19,4","69,1","3,26"
"GET Find Owner with lastname=""""",25000,173,128,414,525,724,8,1155,"0,00%","19,4","3287,1","159,53"
POST Update Owner,25000,23,8,23,96,400,3,1012,"0,00%","19,4","72,3","67,76"
POST Update Owner-0,25000,16,5,14,76,301,1,746,"0,00%","19,4","3,7","53,02"
POST Update Owner-1,25000,6,3,8,13,98,1,617,"0,00%","19,4","68,6","25,26"
POST New Pet,25000,14,8,17,25,232,3,1032,"0,00%","19,4","86,0","43,04"
POST New Pet-0,25000,8,4,9,14,143,1,648,"0,00%","19,4","3,7","29,57"
POST New Pet-1,25000,6,4,8,11,43,1,672,"0,00%","19,4","82,4","19,90"
GET New Pet,25000,16,6,15,34,315,2,1002,"0,00%","19,4","93,3","51,22"
TOTAL,425080,20,5,22,106,367,0,1155,"0,02%","325,0","9441,5","66,25"
