Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,8,4,17,28,79,1,259,"0,00%","13,7","41,5","14,81"
Vets Page,25000,8,4,15,28,95,1,219,"0,00%","13,7","55,1","16,73"
CSS,25000,23,14,47,67,149,6,288,"0,00%","13,7","2792,7","26,10"
JS,25000,11,6,19,32,103,2,241,"0,00%","13,7","1083,0","17,88"
POST New Owner,25000,221,29,748,974,1368,4,1940,"0,00%","13,7","50,9","332,59"
POST New Owner-0,25000,190,14,672,909,1310,2,1909,"0,00%","13,7","2,6","310,07"
POST New Owner-1,25000,30,8,50,129,468,2,1357,"0,00%","13,7","48,3","82,54"
GET Owner,25000,25,7,29,78,486,2,1557,"0,00%","13,7","48,3","92,04"
GET Find Owner,25000,8,5,15,24,82,1,207,"0,00%","13,7","48,8","14,54"
"GET Find Owner with lastname=""""",25000,657,555,1503,1738,2085,5,3121,"0,00%","13,7","2323,3","553,95"
POST Update Owner,25000,148,16,502,789,1565,5,2096,"0,00%","13,7","51,1","307,67"
POST Update Owner-0,25000,123,8,435,702,1466,2,2035,"0,00%","13,7","2,6","276,37"
POST Update Owner-1,25000,24,6,36,67,488,2,1805,"0,00%","13,7","48,5","87,22"
POST New Pet,25000,95,16,119,795,1326,5,2148,"0,00%","13,7","60,8","265,04"
POST New Pet-0,25000,70,8,70,593,1154,2,2105,"0,00%","13,7","2,6","224,07"
POST New Pet-1,25000,24,7,26,60,558,2,1711,"0,00%","13,7","58,2","89,10"
GET New Pet,25000,110,12,425,818,1281,4,2130,"0,00%","13,7","65,9","274,55"
TOTAL,425000,104,10,329,740,1440,1,3121,"0,00%","233,2","6775,2","277,71"
