Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,5,3,11,17,32,0,98,"0,00%","17,9","54,0","6,18"
Vets Page,25000,5,4,11,16,33,1,524,"0,00%","17,9","71,8","7,66"
CSS,25000,18,14,34,45,69,6,111,"0,00%","17,9","3640,3","12,73"
JS,25000,7,6,14,19,33,3,84,"0,00%","17,9","1412,2","5,95"
POST New Owner,25000,44,10,108,269,609,3,1034,"0,00%","17,9","66,4","110,39"
POST New Owner-0,25000,32,5,76,211,469,1,1008,"0,00%","17,9","3,4","91,20"
POST New Owner-1,25000,11,4,15,34,208,1,719,"0,00%","17,9","63,0","38,50"
GET Owner,25000,17,4,15,45,362,1,1003,"0,00%","17,9","63,0","60,80"
GET Find Owner,25000,4,3,9,13,26,1,106,"0,00%","17,9","63,7","5,11"
"GET Find Owner with lastname=""""",25000,294,216,633,774,1003,14,1344,"0,00%","17,9","3029,7","240,56"
POST Update Owner,25000,41,10,119,249,459,3,972,"0,00%","17,9","66,6","91,20"
POST Update Owner-0,25000,29,5,86,200,361,1,717,"0,00%","17,9","3,4","72,54"
POST Update Owner-1,25000,11,4,14,34,187,1,719,"0,00%","17,9","63,2","34,64"
POST New Pet,25000,29,9,28,88,546,3,1143,"0,00%","17,9","79,3","95,24"
POST New Pet-0,25000,17,4,15,51,408,1,992,"0,00%","17,9","3,4","65,13"
POST New Pet-1,25000,11,4,12,22,220,1,721,"0,00%","17,9","75,9","44,29"
GET New Pet,25000,39,7,60,283,532,2,1013,"0,00%","17,9","86,0","107,68"
TOTAL,425000,36,6,63,228,585,0,1344,"0,00%","303,7","8825,3","108,14"
