          Category;  Run Identifier;  Power (Watt)
openjdk-hotspot-vm;         default;        28.110
openjdk-hotspot-vm;         default;        28.310
openjdk-hotspot-vm;         default;        28.590
openjdk-hotspot-vm;         default;        54.000
openjdk-hotspot-vm;         default;        54.940
openjdk-hotspot-vm;         default;        50.240
openjdk-hotspot-vm;         default;        60.180
openjdk-hotspot-vm;         default;        65.810
openjdk-hotspot-vm;         default;        50.530
openjdk-hotspot-vm;         default;        51.220
openjdk-hotspot-vm;         default;        57.320
openjdk-hotspot-vm;         default;        67.060
openjdk-hotspot-vm;         default;        49.590
openjdk-hotspot-vm;         default;        32.980
openjdk-hotspot-vm;         default;        30.740
openjdk-hotspot-vm;         default;        30.480
openjdk-hotspot-vm;         default;        30.330
openjdk-hotspot-vm;         default;        31.220
openjdk-hotspot-vm;         default;        30.850
openjdk-hotspot-vm;         default;        31.580
openjdk-hotspot-vm;         default;        29.950
openjdk-hotspot-vm;         default;        29.600
openjdk-hotspot-vm;         default;        29.690
openjdk-hotspot-vm;         default;        29.100
openjdk-hotspot-vm;         default;        29.280
openjdk-hotspot-vm;         default;        30.390
openjdk-hotspot-vm;         default;        30.390
openjdk-hotspot-vm;         default;        32.610
openjdk-hotspot-vm;         default;        29.680
openjdk-hotspot-vm;         default;        29.240
openjdk-hotspot-vm;         default;        31.100
openjdk-hotspot-vm;         default;        29.900
openjdk-hotspot-vm;         default;        29.510
openjdk-hotspot-vm;         default;        29.380
openjdk-hotspot-vm;         default;        29.140
openjdk-hotspot-vm;         default;        28.530
openjdk-hotspot-vm;         default;        33.280
openjdk-hotspot-vm;         default;        29.780
openjdk-hotspot-vm;         default;        29.970
openjdk-hotspot-vm;         default;        29.350
openjdk-hotspot-vm;         default;        29.400
openjdk-hotspot-vm;         default;        29.350
openjdk-hotspot-vm;         default;        29.610
openjdk-hotspot-vm;         default;        29.620
openjdk-hotspot-vm;         default;        29.860
openjdk-hotspot-vm;         default;        29.260
openjdk-hotspot-vm;         default;        29.060
openjdk-hotspot-vm;         default;        28.740
openjdk-hotspot-vm;         default;        29.500
openjdk-hotspot-vm;         default;        29.240
openjdk-hotspot-vm;         default;        29.970
openjdk-hotspot-vm;         default;        47.110
openjdk-hotspot-vm;         default;        80.240
openjdk-hotspot-vm;         default;        80.970
openjdk-hotspot-vm;         default;        81.580
openjdk-hotspot-vm;         default;        84.000
openjdk-hotspot-vm;         default;        82.200
openjdk-hotspot-vm;         default;        83.220
openjdk-hotspot-vm;         default;        81.000
openjdk-hotspot-vm;         default;        84.240
openjdk-hotspot-vm;         default;        84.130
openjdk-hotspot-vm;         default;        83.780
openjdk-hotspot-vm;         default;        84.800
openjdk-hotspot-vm;         default;        84.270
openjdk-hotspot-vm;         default;        84.710
openjdk-hotspot-vm;         default;        84.810
openjdk-hotspot-vm;         default;        85.630
openjdk-hotspot-vm;         default;        85.060
openjdk-hotspot-vm;         default;        86.740
openjdk-hotspot-vm;         default;        85.560
openjdk-hotspot-vm;         default;        86.340
openjdk-hotspot-vm;         default;        87.530
openjdk-hotspot-vm;         default;        85.390
openjdk-hotspot-vm;         default;        85.800
openjdk-hotspot-vm;         default;        84.550
openjdk-hotspot-vm;         default;        86.440
openjdk-hotspot-vm;         default;        86.510
openjdk-hotspot-vm;         default;        86.310
openjdk-hotspot-vm;         default;        87.650
openjdk-hotspot-vm;         default;        87.750
openjdk-hotspot-vm;         default;        86.620
openjdk-hotspot-vm;         default;        82.940
openjdk-hotspot-vm;         default;        84.750
openjdk-hotspot-vm;         default;        86.600
openjdk-hotspot-vm;         default;        86.550
openjdk-hotspot-vm;         default;        87.210
openjdk-hotspot-vm;         default;        88.040
openjdk-hotspot-vm;         default;        85.680
openjdk-hotspot-vm;         default;        85.430
openjdk-hotspot-vm;         default;        84.610
openjdk-hotspot-vm;         default;        85.300
openjdk-hotspot-vm;         default;        85.280
openjdk-hotspot-vm;         default;        86.190
openjdk-hotspot-vm;         default;        86.810
openjdk-hotspot-vm;         default;        84.500
openjdk-hotspot-vm;         default;        84.890
openjdk-hotspot-vm;         default;        85.930
openjdk-hotspot-vm;         default;        85.060
openjdk-hotspot-vm;         default;        85.320
openjdk-hotspot-vm;         default;        85.680
openjdk-hotspot-vm;         default;        85.990
openjdk-hotspot-vm;         default;        86.600
openjdk-hotspot-vm;         default;        85.170
openjdk-hotspot-vm;         default;        87.050
openjdk-hotspot-vm;         default;        87.770
openjdk-hotspot-vm;         default;        86.020
openjdk-hotspot-vm;         default;        86.550
openjdk-hotspot-vm;         default;        86.730
openjdk-hotspot-vm;         default;        85.150
openjdk-hotspot-vm;         default;        86.680
openjdk-hotspot-vm;         default;        88.300
openjdk-hotspot-vm;         default;        85.600
openjdk-hotspot-vm;         default;        86.000
openjdk-hotspot-vm;         default;        85.950
openjdk-hotspot-vm;         default;        86.510
openjdk-hotspot-vm;         default;        85.260
openjdk-hotspot-vm;         default;        83.850
openjdk-hotspot-vm;         default;        86.420
openjdk-hotspot-vm;         default;        86.420
openjdk-hotspot-vm;         default;        86.700
openjdk-hotspot-vm;         default;        86.020
openjdk-hotspot-vm;         default;        86.380
openjdk-hotspot-vm;         default;        87.390
openjdk-hotspot-vm;         default;        87.380
openjdk-hotspot-vm;         default;        86.880
openjdk-hotspot-vm;         default;        86.330
openjdk-hotspot-vm;         default;        86.650
openjdk-hotspot-vm;         default;        86.800
openjdk-hotspot-vm;         default;        87.140
openjdk-hotspot-vm;         default;        87.620
openjdk-hotspot-vm;         default;        87.620
openjdk-hotspot-vm;         default;        87.370
openjdk-hotspot-vm;         default;        87.680
openjdk-hotspot-vm;         default;        85.670
openjdk-hotspot-vm;         default;        86.980
openjdk-hotspot-vm;         default;        87.610
openjdk-hotspot-vm;         default;        87.510
openjdk-hotspot-vm;         default;        84.440
openjdk-hotspot-vm;         default;        86.590
openjdk-hotspot-vm;         default;        87.820
openjdk-hotspot-vm;         default;        87.310
openjdk-hotspot-vm;         default;        87.170
openjdk-hotspot-vm;         default;        87.490
openjdk-hotspot-vm;         default;        85.900
openjdk-hotspot-vm;         default;        87.480
openjdk-hotspot-vm;         default;        87.950
openjdk-hotspot-vm;         default;        87.270
openjdk-hotspot-vm;         default;        87.860
openjdk-hotspot-vm;         default;        85.100
openjdk-hotspot-vm;         default;        88.110
openjdk-hotspot-vm;         default;        87.670
openjdk-hotspot-vm;         default;        88.320
openjdk-hotspot-vm;         default;        88.590
openjdk-hotspot-vm;         default;        84.370
openjdk-hotspot-vm;         default;        87.730
openjdk-hotspot-vm;         default;        87.860
openjdk-hotspot-vm;         default;        87.990
openjdk-hotspot-vm;         default;        88.460
openjdk-hotspot-vm;         default;        85.070
openjdk-hotspot-vm;         default;        87.070
openjdk-hotspot-vm;         default;        88.210
openjdk-hotspot-vm;         default;        88.800
openjdk-hotspot-vm;         default;        88.920
openjdk-hotspot-vm;         default;        88.790
openjdk-hotspot-vm;         default;        87.530
openjdk-hotspot-vm;         default;        89.160
openjdk-hotspot-vm;         default;        88.140
openjdk-hotspot-vm;         default;        88.700
openjdk-hotspot-vm;         default;        88.790
openjdk-hotspot-vm;         default;        86.370
openjdk-hotspot-vm;         default;        86.130
openjdk-hotspot-vm;         default;        85.810
openjdk-hotspot-vm;         default;        87.860
openjdk-hotspot-vm;         default;        88.270
openjdk-hotspot-vm;         default;        88.290
openjdk-hotspot-vm;         default;        88.730
openjdk-hotspot-vm;         default;        88.610
openjdk-hotspot-vm;         default;        88.870
openjdk-hotspot-vm;         default;        89.210
openjdk-hotspot-vm;         default;        89.420
openjdk-hotspot-vm;         default;        88.120
openjdk-hotspot-vm;         default;        88.410
openjdk-hotspot-vm;         default;        87.510
openjdk-hotspot-vm;         default;        88.750
openjdk-hotspot-vm;         default;        87.940
openjdk-hotspot-vm;         default;        88.700
openjdk-hotspot-vm;         default;        86.610
openjdk-hotspot-vm;         default;        88.250
openjdk-hotspot-vm;         default;        89.050
openjdk-hotspot-vm;         default;        89.790
openjdk-hotspot-vm;         default;        90.030
openjdk-hotspot-vm;         default;        90.330
openjdk-hotspot-vm;         default;        90.030
openjdk-hotspot-vm;         default;        90.180
openjdk-hotspot-vm;         default;        89.790
openjdk-hotspot-vm;         default;        89.020
openjdk-hotspot-vm;         default;        90.140
openjdk-hotspot-vm;         default;        89.690
openjdk-hotspot-vm;         default;        90.650
openjdk-hotspot-vm;         default;        88.450
openjdk-hotspot-vm;         default;        89.750
openjdk-hotspot-vm;         default;        88.970
openjdk-hotspot-vm;         default;        88.360
openjdk-hotspot-vm;         default;        86.890
openjdk-hotspot-vm;         default;        90.410
openjdk-hotspot-vm;         default;        89.730
openjdk-hotspot-vm;         default;        89.500
openjdk-hotspot-vm;         default;        89.060
openjdk-hotspot-vm;         default;        88.410
openjdk-hotspot-vm;         default;        89.370
openjdk-hotspot-vm;         default;        89.920
openjdk-hotspot-vm;         default;        90.410
openjdk-hotspot-vm;         default;        89.130
openjdk-hotspot-vm;         default;        91.040
openjdk-hotspot-vm;         default;        90.180
openjdk-hotspot-vm;         default;        90.400
openjdk-hotspot-vm;         default;        90.090
openjdk-hotspot-vm;         default;        88.600
openjdk-hotspot-vm;         default;        90.430
openjdk-hotspot-vm;         default;        89.190
openjdk-hotspot-vm;         default;        90.040
openjdk-hotspot-vm;         default;        89.650
openjdk-hotspot-vm;         default;        90.330
openjdk-hotspot-vm;         default;        89.100
openjdk-hotspot-vm;         default;        90.120
openjdk-hotspot-vm;         default;        89.220
openjdk-hotspot-vm;         default;        89.520
openjdk-hotspot-vm;         default;        89.490
openjdk-hotspot-vm;         default;        89.940
openjdk-hotspot-vm;         default;        91.480
openjdk-hotspot-vm;         default;        90.420
openjdk-hotspot-vm;         default;        90.220
openjdk-hotspot-vm;         default;        90.170
openjdk-hotspot-vm;         default;        90.190
openjdk-hotspot-vm;         default;        90.930
openjdk-hotspot-vm;         default;        90.890
openjdk-hotspot-vm;         default;        89.510
openjdk-hotspot-vm;         default;        90.540
openjdk-hotspot-vm;         default;        87.360
openjdk-hotspot-vm;         default;        91.290
openjdk-hotspot-vm;         default;        90.250
openjdk-hotspot-vm;         default;        91.080
openjdk-hotspot-vm;         default;        88.570
openjdk-hotspot-vm;         default;        89.750
openjdk-hotspot-vm;         default;        91.210
openjdk-hotspot-vm;         default;        91.210
openjdk-hotspot-vm;         default;        90.580
openjdk-hotspot-vm;         default;        89.370
openjdk-hotspot-vm;         default;        91.240
openjdk-hotspot-vm;         default;        90.450
openjdk-hotspot-vm;         default;        88.870
openjdk-hotspot-vm;         default;        91.130
openjdk-hotspot-vm;         default;        91.220
openjdk-hotspot-vm;         default;        89.570
openjdk-hotspot-vm;         default;        90.820
openjdk-hotspot-vm;         default;        91.200
openjdk-hotspot-vm;         default;        91.330
openjdk-hotspot-vm;         default;        91.510
openjdk-hotspot-vm;         default;        92.210
openjdk-hotspot-vm;         default;        90.050
openjdk-hotspot-vm;         default;        89.950
openjdk-hotspot-vm;         default;        91.030
openjdk-hotspot-vm;         default;        91.510
openjdk-hotspot-vm;         default;        92.130
openjdk-hotspot-vm;         default;        89.430
openjdk-hotspot-vm;         default;        91.530
openjdk-hotspot-vm;         default;        90.920
openjdk-hotspot-vm;         default;        92.320
openjdk-hotspot-vm;         default;        91.450
openjdk-hotspot-vm;         default;        89.510
openjdk-hotspot-vm;         default;        89.250
openjdk-hotspot-vm;         default;        90.100
openjdk-hotspot-vm;         default;        91.910
openjdk-hotspot-vm;         default;        90.250
openjdk-hotspot-vm;         default;        92.830
openjdk-hotspot-vm;         default;        92.160
openjdk-hotspot-vm;         default;        91.460
openjdk-hotspot-vm;         default;        91.680
openjdk-hotspot-vm;         default;        90.790
openjdk-hotspot-vm;         default;        88.750
openjdk-hotspot-vm;         default;        88.590
openjdk-hotspot-vm;         default;        91.200
openjdk-hotspot-vm;         default;        90.790
openjdk-hotspot-vm;         default;        91.390
