Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,65298,7,3,15,25,78,1,253,"0,10%","12,8","38,8","14,06"
Vets Page,65297,8,4,13,24,84,1,275,"0,10%","12,8","51,5","14,87"
CSS,65290,21,13,43,61,132,5,324,"0,10%","12,8","2608,3","24,18"
JS,65285,10,6,18,30,104,2,276,"0,10%","12,8","1011,4","17,53"
POST New Owner,65277,185,22,661,907,1362,5,2713,"0,10%","12,8","47,6","314,34"
POST New Owner-0,65212,159,11,580,837,1294,3,1937,"0,00%","12,8","2,4","292,38"
POST New Owner-1,65212,26,7,45,102,407,2,1275,"0,00%","12,8","45,1","72,94"
GET Owner,65277,21,6,24,63,411,0,1797,"0,11%","12,8","45,2","79,18"
GET Find Owner,65277,7,4,12,20,59,1,202,"0,12%","12,8","45,6","10,90"
"GET Find Owner with lastname=""""",65259,578,429,1369,1655,2129,5,3297,"0,12%","12,8","1972,3","532,46"
POST Update Owner,65257,128,15,431,719,1520,1,2411,"0,13%","12,8","47,7","285,40"
POST Update Owner-0,65171,105,9,370,631,1366,3,2153,"0,00%","12,8","2,4","252,46"
POST Update Owner-1,65171,22,5,33,60,450,2,2371,"0,00%","12,8","45,3","86,03"
POST New Pet,65250,81,13,79,671,1294,1,2785,"0,14%","12,8","56,8","245,42"
POST New Pet-0,65160,59,6,46,458,1079,2,2145,"0,00%","12,8","2,4","205,86"
POST New Pet-1,65160,21,6,22,49,487,2,2000,"0,00%","12,8","54,3","82,97"
GET New Pet,65248,95,11,326,723,1221,0,2245,"0,14%","12,8","61,6","255,09"
TOTAL,1109101,90,9,235,641,1351,0,3297,"0,07%","218,1","6135,8","255,80"
