Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,3,3,8,12,21,0,59,"0,00%","19,8","59,6","4,13"
Vets Page,25000,4,3,9,12,22,1,468,"0,00%","19,8","79,3","5,76"
CSS,25000,13,11,23,29,52,6,89,"0,00%","19,8","4017,9","8,74"
JS,25000,6,5,12,16,25,2,73,"0,00%","19,8","1558,7","4,56"
POST New Owner,25000,15,8,23,36,162,2,748,"0,00%","19,8","73,2","32,75"
POST New Owner-0,25000,9,4,14,23,130,1,562,"0,00%","19,8","3,7","25,52"
POST New Owner-1,25000,5,3,10,14,42,1,405,"0,00%","19,8","69,5","13,81"
GET Owner,25000,7,3,11,16,116,1,563,"0,00%","19,8","69,6","22,51"
GET Find Owner,25000,4,3,8,11,20,0,69,"0,00%","19,8","70,3","3,93"
"GET Find Owner with lastname=""""",25000,146,111,326,417,584,14,1063,"0,00%","19,8","3344,0","124,09"
POST Update Owner,25000,16,8,23,43,201,2,712,"0,00%","19,8","73,5","36,78"
POST Update Owner-0,25000,10,4,14,29,160,1,628,"0,00%","19,8","3,7","29,08"
POST Update Owner-1,25000,5,3,9,13,51,1,519,"0,00%","19,8","69,8","14,67"
POST New Pet,25000,14,8,22,32,132,2,857,"0,00%","19,8","87,5","34,57"
POST New Pet-0,25000,7,4,12,19,90,1,836,"0,00%","19,8","3,7","22,27"
POST New Pet-1,25000,6,3,10,15,42,1,526,"0,00%","19,8","83,8","16,82"
GET New Pet,25000,12,5,17,31,184,2,577,"0,00%","19,8","94,9","33,09"
TOTAL,425000,17,5,23,77,268,0,1063,"0,00%","335,2","9739,7","49,44"
