Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,5,3,11,16,31,0,109,"0,00%","17,8","53,6","6,36"
Vets Page,25000,5,4,11,16,35,1,613,"0,00%","17,8","71,2","8,55"
CSS,25000,18,14,36,49,79,6,156,"0,00%","17,8","3611,5","14,70"
JS,25000,7,6,15,20,37,3,102,"0,00%","17,8","1401,0","6,54"
POST New Owner,25000,48,10,130,308,613,3,1060,"0,00%","17,8","65,8","116,59"
POST New Owner-0,25000,35,5,93,252,488,1,895,"0,00%","17,8","3,4","94,53"
POST New Owner-1,25000,12,4,16,39,237,1,864,"0,00%","17,8","62,5","41,99"
GET Owner,25000,18,4,15,55,397,1,1098,"0,00%","17,8","62,5","68,26"
GET Find Owner,25000,4,3,9,13,27,1,118,"0,00%","17,8","63,2","5,36"
"GET Find Owner with lastname=""""",25000,298,199,674,812,1019,15,1446,"0,00%","17,8","3006,2","252,92"
POST Update Owner,25000,48,9,156,297,579,3,1185,"0,00%","17,8","66,1","111,23"
POST Update Owner-0,25000,36,5,116,246,452,2,948,"0,00%","17,8","3,4","91,21"
POST Update Owner-1,25000,11,4,15,37,224,1,967,"0,00%","17,8","62,8","40,08"
POST New Pet,25000,30,9,29,101,584,3,1188,"0,00%","17,8","78,7","98,87"
POST New Pet-0,25000,18,4,16,58,406,1,1058,"0,00%","17,8","3,4","65,90"
POST New Pet-1,25000,12,4,12,24,293,1,975,"0,00%","17,8","75,4","47,15"
GET New Pet,25000,41,7,92,302,528,2,1099,"0,00%","17,8","85,4","107,44"
TOTAL,425000,38,6,72,244,620,0,1446,"0,00%","301,3","8755,1","113,53"
