Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,3,3,8,10,18,0,71,"0,00%","20,1","60,7","3,55"
Vets Page,25000,4,3,9,12,20,1,338,"0,00%","20,1","80,7","4,55"
CSS,25000,14,12,24,30,47,6,86,"0,00%","20,1","4093,0","8,05"
JS,25000,7,6,12,15,23,2,58,"0,00%","20,1","1587,8","4,22"
POST New Owner,25000,11,9,18,25,78,3,410,"0,00%","20,1","74,6","15,18"
POST New Owner-0,25000,6,5,11,16,56,1,203,"0,00%","20,1","3,8","10,97"
POST New Owner-1,25000,4,3,8,11,24,1,239,"0,00%","20,1","70,8","7,10"
GET Owner,25000,5,4,9,13,31,1,194,"0,00%","20,1","70,8","8,18"
GET Find Owner,25000,4,3,8,11,18,1,57,"0,00%","20,1","71,6","3,57"
"GET Find Owner with lastname=""""",25000,119,114,225,268,344,7,540,"0,00%","20,1","3405,7","80,01"
POST Update Owner,25000,10,8,16,22,71,3,289,"0,00%","20,1","74,9","13,57"
POST Update Owner-0,25000,6,5,10,14,53,1,221,"0,00%","20,1","3,8","10,05"
POST Update Owner-1,25000,4,3,7,10,20,1,220,"0,00%","20,1","71,1","6,15"
POST New Pet,25000,10,8,16,22,57,3,419,"0,00%","20,1","89,1","14,07"
POST New Pet-0,25000,5,4,9,12,38,1,409,"0,00%","20,1","3,8","9,66"
POST New Pet-1,25000,4,4,8,11,23,1,249,"0,00%","20,1","85,4","6,77"
GET New Pet,25000,8,6,12,18,73,2,243,"0,00%","20,1","96,7","13,17"
TOTAL,425000,13,5,18,52,194,0,540,"0,00%","341,5","9922,3","34,14"
