Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,3,3,8,11,20,0,89,"0,00%","17,2","52,0","3,78"
Vets Page,25000,5,4,9,12,21,1,507,"0,00%","17,2","69,1","6,49"
CSS,25000,44,16,130,145,163,6,208,"0,00%","17,2","3504,0","48,35"
JS,25000,12,7,35,42,53,2,134,"0,00%","17,2","1359,3","12,89"
POST New Owner,25000,21,8,22,35,453,2,992,"0,00%","17,2","63,9","73,91"
POST New Owner-0,25000,13,4,12,21,322,1,953,"0,00%","17,2","3,3","56,30"
POST New Owner-1,25000,7,3,10,16,128,1,958,"0,00%","17,2","60,6","28,40"
GET Owner,25000,6,3,9,14,42,1,1394,"0,00%","17,2","60,7","24,64"
GET Find Owner,25000,4,3,9,12,22,1,88,"0,00%","17,2","61,3","4,24"
"GET Find Owner with lastname=""""",25000,358,199,954,1149,1425,13,1904,"0,00%","17,2","2917,4","372,69"
POST Update Owner,25000,149,13,564,770,1053,3,1610,"0,00%","17,2","64,1","259,65"
POST Update Owner-0,25000,121,7,484,682,951,1,1394,"0,00%","17,2","3,2","229,05"
POST Update Owner-1,25000,27,4,56,148,484,1,1166,"0,00%","17,2","60,9","87,93"
POST New Pet,25000,14,8,22,30,87,2,1290,"0,00%","17,2","76,3","44,47"
POST New Pet-0,25000,8,4,12,17,55,1,1153,"0,00%","17,2","3,2","35,88"
POST New Pet-1,25000,6,4,11,15,31,1,886,"0,00%","17,2","73,1","15,55"
GET New Pet,25000,8,6,15,22,50,2,543,"0,00%","17,2","82,8","11,51"
TOTAL,425000,47,6,77,294,886,0,1904,"0,00%","292,4","8497,5","155,92"
