Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,5,3,11,18,33,0,76,"0,00%","17,0","51,2","6,48"
Vets Page,25000,4,3,9,12,23,1,392,"0,00%","17,0","68,1","5,25"
CSS,25000,17,13,36,48,70,6,109,"0,00%","17,0","3451,2","13,54"
JS,25000,6,5,12,16,26,2,64,"0,00%","17,0","1338,8","4,55"
POST New Owner,25000,79,9,300,509,789,3,1257,"0,00%","17,0","62,9","171,03"
POST New Owner-0,25000,69,5,270,461,761,1,1230,"0,00%","17,0","3,2","160,24"
POST New Owner-1,25000,10,3,17,25,165,1,846,"0,00%","17,0","59,7","33,90"
GET Owner,25000,13,4,10,20,332,1,1154,"0,00%","17,0","59,7","58,85"
GET Find Owner,25000,4,3,8,10,19,1,62,"0,00%","17,0","60,4","3,56"
"GET Find Owner with lastname=""""",25000,364,233,873,1112,1312,8,1589,"0,00%","17,0","2871,7","339,04"
POST Update Owner,25000,48,9,165,300,530,3,1263,"0,00%","17,0","63,1","115,35"
POST Update Owner-0,25000,39,5,141,267,455,1,1163,"0,00%","17,0","3,2","98,04"
POST Update Owner-1,25000,9,3,12,21,160,1,850,"0,00%","17,0","59,9","36,09"
POST New Pet,25000,44,8,24,173,964,3,1367,"0,00%","17,0","75,2","161,38"
POST New Pet-0,25000,29,4,13,85,696,1,1349,"0,00%","17,0","3,2","123,27"
POST New Pet-1,25000,14,4,11,21,403,1,1095,"0,00%","17,0","72,0","64,22"
GET New Pet,25000,62,6,156,505,909,2,1256,"0,00%","17,0","81,5","178,83"
TOTAL,425000,48,5,88,325,821,0,1589,"0,00%","288,0","8368,4","151,88"
