Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Home Page,25000,5,3,11,17,33,0,100,"0,00%","18,0","54,3","6,42"
Vets Page,25000,5,4,11,17,38,1,707,"0,00%","18,0","72,2","9,81"
CSS,25000,17,13,32,45,71,6,150,"0,00%","18,0","3661,0","12,94"
JS,25000,8,6,14,19,34,3,131,"0,00%","18,0","1420,3","6,18"
POST New Owner,25000,45,10,115,277,581,3,1024,"0,00%","18,0","66,7","109,75"
POST New Owner-0,25000,33,5,81,215,498,1,993,"0,00%","18,0","3,4","91,44"
POST New Owner-1,25000,12,4,16,35,211,1,661,"0,00%","18,0","63,4","37,48"
GET Owner,25000,16,4,15,39,364,1,841,"0,00%","18,0","63,4","58,44"
GET Find Owner,25000,5,3,10,14,27,1,131,"0,00%","18,0","64,1","5,46"
"GET Find Owner with lastname=""""",25000,278,178,647,796,1042,14,1391,"0,00%","18,0","3047,6","245,12"
POST Update Owner,25000,40,10,100,254,492,3,926,"0,00%","18,0","67,0","96,08"
POST Update Owner-0,25000,29,5,72,209,391,2,850,"0,00%","18,0","3,4","77,21"
POST Update Owner-1,25000,10,4,13,27,180,1,674,"0,00%","18,0","63,6","34,64"
POST New Pet,25000,29,10,28,74,571,3,1114,"0,00%","18,0","79,8","94,66"
POST New Pet-0,25000,17,4,16,44,384,1,1016,"0,00%","18,0","3,4","63,01"
POST New Pet-1,25000,12,4,13,23,256,1,843,"0,00%","18,0","76,4","45,49"
GET New Pet,25000,38,7,49,285,555,3,1060,"0,00%","18,0","86,6","108,34"
TOTAL,425000,35,6,59,204,589,0,1391,"0,00%","305,4","8874,3","106,88"
