     Test Category;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Elapsed (sec)
     azul-prime-vm;               3;                  30593.840;              11455.660;      11472.506
     azul-prime-vm;               2;                  30195.830;              11430.440;      11442.333
     azul-prime-vm;               1;                  30723.050;              11496.630;      11525.135
 eclipse-openj9-vm;               1;                  35228.180;              10651.950;      13093.132
 eclipse-openj9-vm;               2;                  34500.210;              10578.690;      12908.710
 eclipse-openj9-vm;               3;                  34025.210;              10398.960;      12576.130
        graalvm-ce;               2;                  28128.510;               9573.230;      10582.719
        graalvm-ce;               1;                  26843.330;               9330.670;      10267.162
        graalvm-ce;               3;                  27215.800;               9350.710;      10356.902
        graalvm-ee;               3;                  24555.900;               9044.220;       9309.338
        graalvm-ee;               2;                  24746.610;               9053.840;       9235.889
        graalvm-ee;               1;                  24614.870;               9081.920;       9305.810
openjdk-hotspot-vm;               2;                  27405.260;               9634.100;      10428.805
openjdk-hotspot-vm;               3;                  27454.050;               9674.910;      10447.847
openjdk-hotspot-vm;               1;                  27953.380;               9648.240;      10379.101
