          Category;                      Type;  Run Identifier;  Energy Samples; Total Energy (Watt⋅sec)
openjdk-hotspot-vm;                quick_sort;         default;            1203;               67272.547
      native-image;                merge_sort;        pgo_g1gc;            1218;               51819.069
      native-image;                radix_sort;         default;            1206;               48588.010
 eclipse-openj9-vm;                quick_sort;         default;            1204;               45101.935
openjdk-hotspot-vm;                merge_sort;         default;            1213;               50392.702
    oracle-graalvm;                radix_sort;         default;            1209;               47754.982
 eclipse-openj9-vm;                merge_sort;         default;            1215;               44493.017
     azul-prime-vm;                radix_sort;         default;            1220;               44977.224
      native-image;                radix_sort;        pgo_g1gc;            1218;               40188.219
        graalvm-ce;                radix_sort;         default;            1210;               49230.659
    oracle-graalvm;                quick_sort;         default;            1204;               42967.835
      native-image;                merge_sort;         default;            1208;               58614.414
      native-image;                quick_sort;         default;            1203;               61541.237
openjdk-hotspot-vm;                radix_sort;         default;            1218;               48787.319
    oracle-graalvm;                merge_sort;         default;            1204;               57882.845
 eclipse-openj9-vm;                radix_sort;         default;            1215;               42208.527
        graalvm-ce;                quick_sort;         default;            1203;               65883.277
     azul-prime-vm;                merge_sort;         default;            1213;               57022.372
      native-image;                quick_sort;        pgo_g1gc;            1203;               69162.137
        graalvm-ce;                merge_sort;         default;            1208;               51849.234
     azul-prime-vm;                quick_sort;         default;            1205;               44990.122

# Note: The reference baseline has already been excluded from the energy scores
