Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk   SEN2 INT340 TCPU_P iwlwif acpitz   SEN3
23:28:33   0.0   0.0   0.0 100.0   0.0    1    212    337    0    0    0   3.60    0.00   0.96   0.15   2.49  53.05  53.00  40.05  20.00  52.00  57.00  39.05   0.00
23:28:34   0.0   0.0   0.0 100.0   0.0    1    182     97    0    0    0   2.06    0.00   0.55   0.07   1.44  53.05  53.00  40.05  20.00  53.00  57.00  39.05   0.00
23:28:35   0.1   0.0   0.1  99.8   0.0    2    340    168   11    3    3   3.29    0.00   0.88   0.17   2.24  50.05  50.00  40.05  20.00  50.00  55.00  39.05   0.00
23:28:36   4.2   0.0   0.0  95.7   0.0    2    227    640    0    0    0  38.39    0.00  11.07   5.92  21.40  56.05  56.00  40.05  20.00  56.00  55.00  39.05   0.00
23:28:37   4.2   0.0   0.0  95.8   0.0    2    204    563    0    0    0  37.56    0.00  10.91   5.92  20.73  58.05  58.00  40.05  20.00  58.00  58.00  39.05   0.00
23:28:38   4.2   0.0   0.0  95.8   0.0    2    169    550    0    0    0  38.13    0.00  11.02   5.92  21.18  58.05  58.00  40.05  20.00  58.00  58.00  39.05   0.00
23:28:39   4.2   0.0   0.0  95.8   0.0    2    161    555    0    0    0  37.30    0.00  10.86   5.92  20.52  58.05  58.00  40.05  20.00  58.00  58.00  39.05   0.00
23:28:40   4.2   0.0   0.0  95.8   0.0    2    150    536    0    0    0  37.22    0.00  10.85   5.91  20.46  58.05  58.00  40.05  20.00  58.00  58.00  40.05   0.00
23:28:41   4.2   0.0   0.0  95.8   0.0    2    208    569    0    0    0  37.25    0.00  10.85   5.92  20.48  58.05  58.00  40.05  20.00  58.00  58.00  40.05   0.00
23:28:42   4.2   0.0   0.0  95.8   0.0    2    146    541    0    0    0  37.24    0.00  10.85   5.91  20.48  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:43   4.2   0.0   0.0  95.8   0.0    2    140    540    0    0    0  37.23    0.00  10.85   5.92  20.47  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:44   4.2   0.0   0.0  95.8   0.0    2    162    554    0    0    0  37.22    0.00  10.84   5.92  20.46  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:45   4.2   0.0   0.0  95.8   0.0    2    232    556    0    0    0  37.22    0.00  10.84   5.92  20.46  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:46   4.2   0.0   0.0  95.8   0.0    2    144    539    0    0    0  37.19    0.00  10.84   5.91  20.44  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:47   4.2   0.0   0.0  95.7   0.1    2    486    586    0    0    0  37.77    0.00  10.95   5.94  20.88  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:48   4.2   0.0   0.0  95.8   0.0    2    333    624    0    0    0  39.26    0.00  11.24   6.15  21.87  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:49   4.2   0.0   0.0  95.8   0.0    2    198    562    0    0    0  39.22    0.00  10.90   5.91  22.41  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:50   4.2   0.0   0.0  95.8   0.0    2    135    537    0    0    0  39.18    0.00  10.90   5.91  22.37  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:51   4.2   0.0   0.0  95.8   0.0    2    174    583    0    0    0  40.31    0.00  11.11   5.92  23.27  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:52   4.2   0.0   0.0  95.8   0.0    2    184    571    0    0    0  37.65    0.00  10.87   5.92  20.86  56.05  56.00  40.05  20.00  56.00  58.00  40.05   0.00
23:28:53   4.2   0.0   0.0  95.8   0.0    2    228    583    0    0    0  39.35    0.00  11.25   5.92  22.18  56.05  56.00  40.05  20.00  56.00  58.00  40.05   0.00
23:28:54   4.2   0.0   0.0  95.8   0.0    2    157    557    0    0    0  37.24    0.00  10.86   5.92  20.46  56.05  56.00  40.05  20.00  56.00  58.00  40.05   0.00
23:28:55   4.2   0.0   0.0  95.8   0.0    2    165    592    0    0    0  37.27    0.00  10.86   5.92  20.48  56.05  56.00  40.05  20.00  56.00  58.00  40.05   0.00
23:28:56   4.2   0.0   0.0  95.8   0.0    2    158    557    0    0    0  37.24    0.00  10.86   5.91  20.46  58.05  58.00  40.05  20.00  58.00  58.00  40.05   0.00
23:28:57   4.2   0.0   0.0  95.8   0.0    2    198    559    0    0    0  37.25    0.00  10.86   5.92  20.48  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:58   4.2   0.0   0.0  95.8   0.0    2    178    543    0    0    0  37.24    0.00  10.86   5.91  20.47  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:28:59   4.2   0.0   0.0  95.8   0.0    2    146    548    0    0    0  37.24    0.00  10.86   5.91  20.47  56.05  56.00  41.05  20.00  56.00  58.00  40.05   0.00
23:29:00   4.2   0.0   0.0  95.8   0.0    2    176    577    0    0    0  37.32    0.01  10.87   5.92  20.52  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:29:01   4.2   0.0   0.0  95.8   0.0    2    204    570    0    0    0  37.25    0.00  10.86   5.92  20.47  58.05  58.00  41.05  20.00  58.00  58.00  40.05   0.00
23:29:02   4.2   0.0   0.0  95.8   0.0    2    149    535    0    0    0  37.22    0.00  10.85   5.92  20.45  58.05  58.00  40.05  20.00  58.00  58.00  40.05   0.00
23:29:03   4.2   0.0   0.0  95.8   0.0    2    162    547    0    0    0  38.25    0.00  11.04   5.91  21.30  56.05  56.00  40.05  20.00  56.00  58.00  40.05   0.00
23:29:04   4.2   0.0   0.0  95.8   0.0    2    164    541    0    0    0  37.23    0.00  10.86   5.92  20.46  58.05  58.00  40.05  20.00  58.00  58.00  40.05   0.00
23:29:05   4.2   0.0   0.0  95.8   0.0    2    188    557    0    0    0  37.27    0.00  10.87   5.91  20.48  56.05  56.00  40.05  20.00  56.00  58.00  40.05   0.00
23:29:06   4.2   0.0   0.0  95.8   0.0    2    166    542    0    0    0  37.22    0.00  10.85   5.91  20.45  58.05  58.00  40.05  20.00  58.00  58.00  40.05   0.00
23:29:07   4.2   0.0   0.0  95.8   0.0    2    156    552    0    0    0  37.24    0.00  10.85   5.92  20.47  58.05  58.00  40.05  20.00  58.00  58.00  40.05   0.00
23:29:08   4.2   0.0   0.0  95.8   0.0    2    186    540    0    0    0  37.24    0.00  10.86   5.92  20.47  58.05  58.00  40.05  20.00  58.00  57.00  40.05   0.00
23:29:09   4.2   0.0   0.0  95.8   0.0    2    226    557    0    0    0  37.31    0.00  10.88   5.94  20.49  56.05  56.00  40.05  20.00  56.00  57.00  40.05   0.00
23:29:10   4.2   0.0   0.0  95.8   0.0    2    142    531    0    0    0  37.21    0.00  10.85   5.92  20.45  56.05  56.00  40.05  20.00  56.00  57.00  40.05   0.00
23:29:11   4.2   0.0   0.0  95.8   0.0    2    166    559    0    0    0  37.20    0.00  10.84   5.92  20.44  56.05  56.00  40.05  20.00  56.00  57.00  40.05   0.00
