Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk   SEN2   SEN3 TCPU_P iwlwif acpitz INT340
13:02:11   4.2   0.0   0.0  95.8   0.0    2    581    702    0    0    0  49.15    0.00  14.90  10.21  24.05  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:12   4.2   0.0   0.0  95.8   0.0    2    606    712    0    0    0  49.13    0.00  14.88  10.19  24.06  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:13   4.2   0.0   0.0  95.8   0.0    2    524    686    0    0    0  49.11    0.00  14.88  10.20  24.04  65.05  65.00  40.05  39.05  65.00  33.00  67.00  20.00
13:02:14   4.2   0.0   0.0  95.8   0.0    2    608    715    0    0    0  49.16    0.00  14.89  10.20  24.07  65.05  65.00  40.05  39.05  65.00  33.00  67.00  20.00
13:02:15   4.2   0.0   0.0  95.8   0.0    2    546    697    0    0    0  49.09    0.00  14.89  10.21  23.99  65.05  65.00  39.05  39.05  65.00  33.00  67.00  20.00
13:02:16   4.2   0.0   0.0  95.7   0.0    2    633    720    0    0    0  49.31    0.00  14.93  10.23  24.14  65.05  65.00  39.05  39.05  65.00  33.00  67.00  20.00
13:02:17   4.2   0.0   0.0  95.8   0.0    2    500    692    0    0    0  49.07    0.00  14.88  10.21  23.99  67.05  67.00  39.05  39.05  65.00  33.00  67.00  20.00
13:02:18   4.2   0.0   0.0  95.8   0.0    2    644    772    0    0    0  50.20    0.00  15.08  10.23  24.89  67.05  67.00  39.05  39.05  67.00  33.00  67.00  20.00
13:02:19   4.2   0.0   0.0  95.8   0.0    2    560    709    0    0    0  49.18    0.00  14.90  10.23  24.05  67.05  67.00  39.05  39.05  65.00  33.00  67.00  20.00
13:02:20   4.2   0.0   0.0  95.8   0.0    2    598    728    0    0    0  49.16    0.00  14.90  10.22  24.04  65.05  65.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:21   4.2   0.0   0.0  95.8   0.0    2    528    686    0    0    0  49.03    0.00  14.85  10.19  24.00  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:22   4.2   0.0   0.0  95.8   0.0    2    624    726    0    0    0  49.14    0.00  14.88  10.21  24.05  66.05  66.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:23   4.2   0.0   0.0  95.8   0.0    2    554    683    0    0    0  49.05    0.00  14.86  10.19  23.99  67.05  67.00  40.05  39.05  68.00  33.00  67.00  20.00
