Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
13:16:02   0.1   0.0   0.0  99.9   0.0    1    240    289    0    0    0   8.95    0.00   2.02   0.15   6.78  44.05  20.00  35.05  44.00  44.00  45.00  35.05   0.00
13:16:03   0.0   0.0   0.0 100.0   0.0    1    274    164    0    0    0   7.30    0.00   1.65   0.06   5.60  44.05  20.00  35.05  44.00  44.00  45.00  35.05   0.00
13:16:04   0.0   0.0   0.1  99.8   0.0    2    315    152    8    6    8   7.41    0.00   1.67   0.11   5.62  44.05  20.00  35.05  44.00  44.00  45.00  35.05   0.00
13:16:05  12.1   0.0   1.0  86.6   0.3    5  47339   6279   41    0    1 100.87    0.00  27.30  20.07  53.50  56.05  20.00  35.05  56.00  56.00  45.00  35.05   0.00
13:16:06  17.5   0.0   0.9  80.9   0.7    5  34521   7111    4    0    1 114.01    0.00  31.35  23.81  58.85  58.05  20.00  35.05  58.00  58.00  45.00  35.05   0.00
13:16:07  17.0   0.0   0.4  82.0   0.5    7  26425   5363    7    4    4 111.19    0.00  30.45  23.01  57.73  59.05  20.00  35.05  59.00  59.00  52.00  35.05   0.00
13:16:08  15.7   0.0   0.7  83.1   0.5    8  37796   6480   29    2    1 108.11    0.00  29.57  22.18  56.36  56.05  20.00  35.05  56.00  56.00  58.00  35.05   0.00
13:16:09  16.0   0.0   1.1  82.7   0.3    5  66281   9523   23    0    2 105.74    0.00  28.58  21.04  56.12  62.05  20.00  35.05  62.00  62.00  58.00  35.05   0.00
13:16:10  17.3   0.0   0.9  81.7   0.1    7  32530   8541    0    0    0 102.01    0.01  27.60  20.32  54.09  63.05  20.00  35.05  63.00  63.00  59.00  35.05   0.00
13:16:11  18.6   0.0   0.4  81.0   0.1    6  35367   7636    0    0    0 104.35    0.02  28.95  22.08  53.29  69.05  20.00  35.05  69.00  69.00  59.00  35.05   0.00
13:16:12  18.4   0.0   1.4  80.1   0.1    6  35313   8097    4    0   53 111.66    0.01  31.14  24.08  56.43  62.05  20.00  35.05  62.00  62.00  67.00  35.05   0.00
13:16:13  16.6   0.0   1.0  82.3   0.2    5  28068   6141   26    0   24 100.78    0.01  27.79  20.73  52.25  57.05  20.00  35.05  57.00  57.00  67.00  35.05   0.00
13:16:14  18.8   0.0   1.3  79.9   0.0    5  72208   8558   51    2    2 114.74    0.00  32.68  26.29  55.76  65.05  20.00  35.05  65.00  65.00  59.00  35.05   0.00
13:16:15  19.0   0.0   0.7  80.3   0.0    5  41657   5313    0    0    0 107.01    0.00  30.48  24.62  51.90  65.05  20.00  35.05  65.00  65.00  59.00  35.05   0.00
13:16:16  18.1   0.0   1.1  80.8   0.0    5  37891   5941    3    0   54 101.31    0.00  28.27  21.87  51.17  63.05  20.00  35.05  63.00  63.00  59.00  35.05   0.00
13:16:17  16.1   0.0   0.8  83.2   0.0    5  11174   3195   27    2   27  91.33    0.00  24.50  17.25  49.59  63.05  20.00  35.05  63.00  63.00  66.00  35.05   0.00
13:16:18   9.5   0.0   1.2  89.2   0.1    2  31033   6405   84    5   41  68.66    0.00  18.29  12.34  38.02  52.05  20.00  35.05  52.00  52.00  60.00  35.05   0.00
13:16:19  73.7   0.0   2.5  23.7   0.0   12  48391  17280   31    0    1 116.93    0.00  33.35  26.41  57.17  55.05  20.00  35.05  55.00  55.00  60.00  35.05   0.00
13:16:20  44.8   0.0   2.4  52.7   0.0    6 118710  27021    0    0    0 106.86    0.00  29.76  22.32  54.78  58.05  20.00  35.05  58.00  58.00  54.00  35.05   0.00
13:16:21  21.7   0.0   1.0  77.2   0.0    3  26539   5854    0    0    8  76.90    0.00  21.40  15.55  39.95  49.05  20.00  35.05  49.00  49.00  54.00  36.05   0.00
13:16:22  13.7   0.0   0.3  85.9   0.0    3  11793   2528    8    5    1  69.57    0.00  18.68  12.85  38.05  57.05  20.00  35.05  56.00  56.00  54.00  36.05   0.00
13:16:23  11.8   0.0   0.9  87.3   0.0    7  15714   3907   64   85   68  75.80    0.00  20.05  13.17  42.58  55.05  20.00  35.05  55.00  55.00  54.00  36.05   0.00
13:16:24  19.7   0.0   0.6  79.6   0.0    5  20820   3377    2    0    2  94.60    0.00  26.52  20.59  47.50  66.05  20.00  35.05  66.00  66.00  58.00  36.05   0.00
13:16:25  65.1   0.0   2.3  32.6   0.0   29  91673  26702   20    0    0 120.74    0.00  35.14  28.71  56.90  55.05  20.00  35.05  54.00  54.00  58.00  36.05   0.00
13:16:26  78.7   0.0   3.0  18.3   0.0   20  24827   8254    0    0    0 105.21    0.00  30.07  23.39  51.76  56.05  20.00  35.05  56.00  56.00  58.00  36.05   0.00
13:16:27  80.6   0.0   0.9  18.5   0.0   20  19691   8425    0    0    0 103.62    0.00  29.74  23.16  50.72  56.05  20.00  35.05  56.00  56.00  57.00  36.05   0.00
13:16:28  73.1   0.0   1.4  25.4   0.1   20  21752   8284    0    0    1 104.84    0.00  29.66  22.48  52.71  55.05  20.00  35.05  55.00  56.00  56.00  36.05   0.00
13:16:29  71.2   0.0   3.1  25.7   0.0   17  26568   8825    0    0    0 104.54    0.00  30.01  23.32  51.21  55.05  20.00  35.05  55.00  55.00  56.00  36.05   0.00
13:16:30  66.8   0.0   1.3  31.8   0.1   17  21234   7852    0    0    0 106.86    0.00  30.09  22.79  53.99  55.05  20.00  35.05  55.00  55.00  55.00  36.05   0.00
13:16:31  76.5   0.0   1.5  21.8   0.1   20  26202   9360    0    0    0 109.95    0.00  30.72  22.93  56.30  53.05  20.00  35.05  53.00  53.00  55.00  36.05   0.00
13:16:32  78.5   0.0   1.3  20.0   0.2   20  29278  10616    0    0    0 108.01    0.00  29.96  21.97  56.08  55.05  20.00  35.05  55.00  55.00  55.00  36.05   0.00
13:16:33  67.2   0.0   1.8  31.1   0.0   21  41291  53537    0    0    2 100.02    0.00  28.44  21.69  49.90  52.05  20.00  35.05  52.00  52.00  55.00  36.05   0.00
13:16:34  73.9   0.0   2.2  23.9   0.1   19  91361  26142    0    0    3 109.25    0.00  30.94  23.47  54.83  58.05  20.00  35.05  58.00  58.00  55.00  36.05   0.00
13:16:35  64.8   0.0   1.6  33.7   0.0   20  62431  17352    0    0    0 105.28    0.00  29.79  22.82  52.67  58.05  20.00  36.05  58.00  58.00  57.00  36.05   0.00
13:16:36  75.3   0.0   3.5  21.1   0.1   20 117124  30415    0    0    0 106.76    0.00  30.38  23.42  52.95  54.05  20.00  36.05  54.00  54.00  57.00  36.05   0.00
