          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
      native-image;                quick_sort;        pgo_g1gc;            1203;     69162.137;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                quick_sort;         default;            1203;     67272.547;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                merge_sort;         default;            1213;     50392.702;  Energy (Watt⋅sec)
     azul-prime-vm;                radix_sort;         default;            1220;     44977.224;  Energy (Watt⋅sec)
      native-image;                merge_sort;         default;            1208;     58614.414;  Energy (Watt⋅sec)
    oracle-graalvm;                quick_sort;         default;            1204;     42967.835;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                quick_sort;         default;            1204;     45101.935;  Energy (Watt⋅sec)
      native-image;                quick_sort;         default;            1203;     61541.237;  Energy (Watt⋅sec)
     azul-prime-vm;                merge_sort;         default;            1213;     57022.372;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                radix_sort;         default;            1215;     42208.527;  Energy (Watt⋅sec)
        graalvm-ce;                quick_sort;         default;            1203;     65883.277;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                radix_sort;         default;            1218;     48787.319;  Energy (Watt⋅sec)
      native-image;                radix_sort;         default;            1206;     48588.010;  Energy (Watt⋅sec)
    oracle-graalvm;                merge_sort;         default;            1204;     57882.845;  Energy (Watt⋅sec)
        graalvm-ce;                merge_sort;         default;            1208;     51849.234;  Energy (Watt⋅sec)
        graalvm-ce;                radix_sort;         default;            1210;     49230.659;  Energy (Watt⋅sec)
     azul-prime-vm;                quick_sort;         default;            1205;     44990.122;  Energy (Watt⋅sec)
      native-image;                radix_sort;        pgo_g1gc;            1218;     40188.219;  Energy (Watt⋅sec)
    oracle-graalvm;                radix_sort;         default;            1209;     47754.982;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                merge_sort;         default;            1215;     44493.017;  Energy (Watt⋅sec)
      native-image;                merge_sort;        pgo_g1gc;            1218;     51819.069;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
