          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;                radix_sort;             pgo;                  1;         4.300;  Power (Watt)
      native-image;                radix_sort;             pgo;                  2;         1.710;  Power (Watt)
      native-image;                radix_sort;             pgo;                  3;         2.460;  Power (Watt)
      native-image;                radix_sort;             pgo;                  4;        90.510;  Power (Watt)
      native-image;                radix_sort;             pgo;                  5;        87.260;  Power (Watt)
      native-image;                radix_sort;             pgo;                  6;        90.210;  Power (Watt)
      native-image;                radix_sort;             pgo;                  7;       102.670;  Power (Watt)
      native-image;                radix_sort;             pgo;                  8;        87.590;  Power (Watt)
      native-image;                radix_sort;             pgo;                  9;       108.400;  Power (Watt)
      native-image;                radix_sort;             pgo;                 10;       105.200;  Power (Watt)
      native-image;                radix_sort;             pgo;                 11;       103.400;  Power (Watt)
      native-image;                radix_sort;             pgo;                 12;       102.030;  Power (Watt)
      native-image;                radix_sort;             pgo;                 13;       100.650;  Power (Watt)
      native-image;                radix_sort;             pgo;                 14;        89.120;  Power (Watt)
      native-image;                radix_sort;             pgo;                 15;       102.980;  Power (Watt)
      native-image;                radix_sort;             pgo;                 16;       112.220;  Power (Watt)
      native-image;                radix_sort;             pgo;                 17;       100.700;  Power (Watt)
      native-image;                radix_sort;             pgo;                 18;        94.980;  Power (Watt)
      native-image;                radix_sort;             pgo;                 19;       110.400;  Power (Watt)
      native-image;                radix_sort;             pgo;                 20;       101.820;  Power (Watt)
      native-image;                radix_sort;             pgo;                 21;       100.870;  Power (Watt)
      native-image;                radix_sort;             pgo;                 22;       100.810;  Power (Watt)
      native-image;                radix_sort;             pgo;                 23;       100.450;  Power (Watt)
      native-image;                radix_sort;             pgo;                 24;       100.270;  Power (Watt)
      native-image;                radix_sort;             pgo;                 25;       101.220;  Power (Watt)
      native-image;                radix_sort;             pgo;                 26;        99.950;  Power (Watt)
      native-image;                radix_sort;             pgo;                 27;        95.320;  Power (Watt)
      native-image;                radix_sort;             pgo;                 28;       101.060;  Power (Watt)
      native-image;                radix_sort;             pgo;                 29;        64.950;  Power (Watt)
      native-image;                radix_sort;             pgo;                 30;         5.380;  Power (Watt)
      native-image;                radix_sort;             pgo;                 31;         2.020;  Power (Watt)
      native-image;                radix_sort;             pgo;                 32;         5.760;  Power (Watt)
      native-image;                radix_sort;             pgo;                 33;        80.170;  Power (Watt)
      native-image;                radix_sort;             pgo;                 34;        76.320;  Power (Watt)
      native-image;                radix_sort;             pgo;                 35;        93.930;  Power (Watt)
      native-image;                radix_sort;             pgo;                 36;        64.090;  Power (Watt)
      native-image;                radix_sort;             pgo;                 37;        91.870;  Power (Watt)
      native-image;                radix_sort;             pgo;                 38;        68.560;  Power (Watt)
      native-image;                radix_sort;             pgo;                 39;        82.470;  Power (Watt)
      native-image;                radix_sort;             pgo;                 40;       118.490;  Power (Watt)
      native-image;                radix_sort;             pgo;                 41;       101.990;  Power (Watt)
      native-image;                radix_sort;             pgo;                 42;       102.630;  Power (Watt)
      native-image;                radix_sort;             pgo;                 43;       100.340;  Power (Watt)
      native-image;                radix_sort;             pgo;                 44;       100.820;  Power (Watt)
      native-image;                radix_sort;             pgo;                 45;        91.700;  Power (Watt)
      native-image;                radix_sort;             pgo;                 46;        94.990;  Power (Watt)
      native-image;                radix_sort;             pgo;                 47;       110.630;  Power (Watt)
      native-image;                radix_sort;             pgo;                 48;       101.290;  Power (Watt)
      native-image;                radix_sort;             pgo;                 49;       100.670;  Power (Watt)
      native-image;                radix_sort;             pgo;                 50;       103.540;  Power (Watt)
      native-image;                radix_sort;             pgo;                 51;       103.450;  Power (Watt)
      native-image;                radix_sort;             pgo;                 52;       100.790;  Power (Watt)
      native-image;                radix_sort;             pgo;                 53;       100.080;  Power (Watt)
      native-image;                radix_sort;             pgo;                 54;       101.250;  Power (Watt)
      native-image;                radix_sort;             pgo;                 55;       101.920;  Power (Watt)
      native-image;                radix_sort;             pgo;                 56;       100.690;  Power (Watt)
      native-image;                radix_sort;             pgo;                 57;       101.550;  Power (Watt)
      native-image;                radix_sort;             pgo;                 58;       100.910;  Power (Watt)
      native-image;                radix_sort;             pgo;                 59;       101.790;  Power (Watt)
      native-image;                radix_sort;             pgo;                 60;       100.850;  Power (Watt)
      native-image;                radix_sort;             pgo;                 61;       101.950;  Power (Watt)
      native-image;                radix_sort;             pgo;                 62;       104.140;  Power (Watt)
      native-image;                radix_sort;             pgo;                 63;       105.240;  Power (Watt)
      native-image;                radix_sort;             pgo;                 64;       106.250;  Power (Watt)
      native-image;                radix_sort;             pgo;                 65;       107.300;  Power (Watt)
      native-image;                radix_sort;             pgo;                 66;       103.630;  Power (Watt)
      native-image;                radix_sort;             pgo;                 67;       104.220;  Power (Watt)
      native-image;                radix_sort;             pgo;                 68;        94.770;  Power (Watt)
      native-image;                radix_sort;             pgo;                 69;       101.250;  Power (Watt)
      native-image;                radix_sort;             pgo;                 70;       104.850;  Power (Watt)
      native-image;                radix_sort;             pgo;                 71;        92.450;  Power (Watt)
      native-image;                radix_sort;             pgo;                 72;       100.700;  Power (Watt)
      native-image;                radix_sort;             pgo;                 73;       101.330;  Power (Watt)
      native-image;                radix_sort;             pgo;                 74;        58.940;  Power (Watt)
      native-image;                radix_sort;             pgo;                 75;        57.730;  Power (Watt)
      native-image;                radix_sort;             pgo;                 76;        94.350;  Power (Watt)
      native-image;                radix_sort;             pgo;                 77;        55.910;  Power (Watt)
      native-image;                radix_sort;             pgo;                 78;        55.990;  Power (Watt)
openjdk-hotspot-vm;                quick_sort;         default;                  1;         4.530;  Power (Watt)
openjdk-hotspot-vm;                quick_sort;         default;                  2;         2.400;  Power (Watt)
openjdk-hotspot-vm;                quick_sort;         default;                  3;         3.640;  Power (Watt)
openjdk-hotspot-vm;                quick_sort;         default;                  4;        93.140;  Power (Watt)
openjdk-hotspot-vm;                quick_sort;         default;                  5;       106.340;  Power (Watt)
      native-image;                merge_sort;         default;                  1;         4.520;  Power (Watt)
      native-image;                merge_sort;         default;                  2;         5.140;  Power (Watt)
      native-image;                merge_sort;         default;                  3;         2.710;  Power (Watt)
      native-image;                merge_sort;         default;                  4;        81.780;  Power (Watt)
      native-image;                merge_sort;         default;                  5;        78.490;  Power (Watt)
      native-image;                merge_sort;         default;                  6;        80.960;  Power (Watt)
      native-image;                merge_sort;         default;                  7;        89.310;  Power (Watt)
      native-image;                merge_sort;         default;                  8;        80.890;  Power (Watt)
      native-image;                merge_sort;         default;                  9;        85.460;  Power (Watt)
      native-image;                merge_sort;         default;                 10;       120.050;  Power (Watt)
      native-image;                merge_sort;         default;                 11;       105.600;  Power (Watt)
      native-image;                merge_sort;         default;                 12;       101.910;  Power (Watt)
      native-image;                merge_sort;         default;                 13;       101.130;  Power (Watt)
      native-image;                merge_sort;         default;                 14;       101.000;  Power (Watt)
      native-image;                merge_sort;         default;                 15;        99.620;  Power (Watt)
      native-image;                merge_sort;         default;                 16;       103.130;  Power (Watt)
      native-image;                merge_sort;         default;                 17;        98.330;  Power (Watt)
      native-image;                merge_sort;         default;                 18;       103.250;  Power (Watt)
      native-image;                merge_sort;         default;                 19;        96.180;  Power (Watt)
      native-image;                merge_sort;         default;                 20;       106.840;  Power (Watt)
      native-image;                merge_sort;         default;                 21;       101.840;  Power (Watt)
      native-image;                merge_sort;         default;                 22;       100.010;  Power (Watt)
      native-image;                merge_sort;         default;                 23;       102.270;  Power (Watt)
      native-image;                merge_sort;         default;                 24;       101.360;  Power (Watt)
      native-image;                merge_sort;         default;                 25;       101.210;  Power (Watt)
      native-image;                merge_sort;         default;                 26;       101.190;  Power (Watt)
      native-image;                merge_sort;         default;                 27;       101.170;  Power (Watt)
