          Category;                      Type;  Run Identifier;  Throughput (Ops/sec)
      native-image;                quick_sort;         default;                 1.788
     azul-prime-vm;                quick_sort;         default;                 1.906
      native-image;                radix_sort;        pgo_g1gc;                 0.044
openjdk-hotspot-vm;                radix_sort;         default;                 0.058
      native-image;                radix_sort;         default;                 0.098
openjdk-hotspot-vm;                quick_sort;         default;                 2.900
openjdk-hotspot-vm;                merge_sort;         default;                 0.057
     azul-prime-vm;                radix_sort;         default;                 0.062
 eclipse-openj9-vm;                quick_sort;         default;                 0.633
     azul-prime-vm;                merge_sort;         default;                 0.082
    oracle-graalvm;                merge_sort;         default;                 0.117
        graalvm-ce;                quick_sort;         default;                 2.790
 eclipse-openj9-vm;                merge_sort;         default;                 0.041
    oracle-graalvm;                quick_sort;         default;                 1.847
        graalvm-ce;                radix_sort;         default;                 0.056
      native-image;                merge_sort;        pgo_g1gc;                 0.058
      native-image;                merge_sort;         default;                 0.059
      native-image;                quick_sort;        pgo_g1gc;                 3.149
 eclipse-openj9-vm;                radix_sort;         default;                 0.045
        graalvm-ce;                merge_sort;         default;                 0.069
    oracle-graalvm;                radix_sort;         default;                 0.055
