          Category;                      Type;  Run Identifier;         Score;          Score Metric
      native-image;                quick_sort;         default;         1.788;  Throughput (ops/sec)
     azul-prime-vm;                quick_sort;         default;         1.906;  Throughput (ops/sec)
      native-image;                radix_sort;        pgo_g1gc;         0.044;  Throughput (ops/sec)
openjdk-hotspot-vm;                radix_sort;         default;         0.058;  Throughput (ops/sec)
      native-image;                radix_sort;         default;         0.098;  Throughput (ops/sec)
openjdk-hotspot-vm;                quick_sort;         default;         2.900;  Throughput (ops/sec)
openjdk-hotspot-vm;                merge_sort;         default;         0.057;  Throughput (ops/sec)
     azul-prime-vm;                radix_sort;         default;         0.062;  Throughput (ops/sec)
 eclipse-openj9-vm;                quick_sort;         default;         0.633;  Throughput (ops/sec)
     azul-prime-vm;                merge_sort;         default;         0.082;  Throughput (ops/sec)
    oracle-graalvm;                merge_sort;         default;         0.117;  Throughput (ops/sec)
        graalvm-ce;                quick_sort;         default;         2.790;  Throughput (ops/sec)
 eclipse-openj9-vm;                merge_sort;         default;         0.041;  Throughput (ops/sec)
    oracle-graalvm;                quick_sort;         default;         1.847;  Throughput (ops/sec)
        graalvm-ce;                radix_sort;         default;         0.056;  Throughput (ops/sec)
      native-image;                merge_sort;        pgo_g1gc;         0.058;  Throughput (ops/sec)
      native-image;                merge_sort;         default;         0.059;  Throughput (ops/sec)
      native-image;                quick_sort;        pgo_g1gc;         3.149;  Throughput (ops/sec)
 eclipse-openj9-vm;                radix_sort;         default;         0.045;  Throughput (ops/sec)
        graalvm-ce;                merge_sort;         default;         0.069;  Throughput (ops/sec)
    oracle-graalvm;                radix_sort;         default;         0.055;  Throughput (ops/sec)
