Running for 3600.0 seconds (3600 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
15:05:53   0.0   0.0   0.0  99.9   0.0    1    426    302    0    0    1   8.67    1.98   0.07   6.63  42.05  20.00  29.05  42.00  42.00  44.00  29.05   0.00
15:05:54   0.0   0.0   0.1  99.9   0.0    1    566    189    0    0    0   7.60    1.76   0.06   5.78  42.05  20.00  29.05  42.00  42.00  44.00  29.05   0.00
15:05:55   0.0   0.0   0.0 100.0   0.0    1    211    114    0    0    0   5.93    1.34   0.03   4.56  42.05  20.00  29.05  42.00  42.00  43.00  29.05   0.00
15:05:56   0.0   0.0   0.0 100.0   0.0    1    310    118    0    0    0   6.35    1.47   0.04   4.85  42.05  20.00  29.05  42.00  42.00  43.00  29.05   0.00
15:05:57   0.0   0.0   0.0 100.0   0.0    1    182     93    0    0    0   5.93    1.34   0.03   4.55  42.05  20.00  29.05  40.00  40.00  42.00  29.05   0.00
15:05:58   0.1   0.0   0.1  99.7   0.1    1    303    216    0    0    1  12.74    2.91   0.07   9.76  42.05  20.00  29.05  42.00  42.00  42.00  29.05   0.00
15:05:59   0.1   0.0   0.0  99.9   0.0    1    462    268    3    0    6   7.04    1.63   0.06   5.34  41.05  20.00  29.05  41.00  41.00  42.00  29.05   0.00
15:06:00   0.1   0.0   0.0  99.8   0.0    1    229    124    0    0    0   6.62    1.53   0.05   5.04  40.05  20.00  29.05  40.00  40.00  42.00  29.05   0.00
15:06:01   0.0   0.0   0.0 100.0   0.0    1    228    111    0    0    0   6.37    1.46   0.04   4.88  40.05  20.00  29.05  40.00  40.00  42.00  30.05   0.00
15:06:02   0.0   0.0   0.0 100.0   0.0    1    168    108    0    0    0   6.54    1.50   0.04   5.01  42.05  20.00  29.05  42.00  42.00  42.00  30.05   0.00
15:06:03   0.0   0.0   0.0 100.0   0.0    2    278    152    0    0    0   9.18    2.13   0.04   7.01  40.05  20.00  29.05  40.00  40.00  42.00  30.05   0.00
15:06:04   0.0   0.0   0.0  99.9   0.0    1    217    130    0    0    0   9.00    2.08   0.04   6.87  42.05  20.00  29.05  42.00  42.00  42.00  30.05   0.00
15:06:05   0.0   0.0   0.0 100.0   0.0    1    131     82    0    0    0   6.05    1.39   0.03   4.63  40.05  20.00  29.05  40.00  40.00  42.00  30.05   0.00
15:06:06   0.0   0.0   0.0 100.0   0.0    1    214    159    0    0    1  11.12    2.54   0.03   8.54  42.05  20.00  29.05  42.00  42.00  42.00  29.05   0.00
15:06:07   0.0   0.0   0.0 100.0   0.0    1    149     86    0    0    0   5.59    1.26   0.02   4.31  42.05  20.00  29.05  42.00  42.00  42.00  29.05   0.00
15:06:08   0.0   0.0   0.0 100.0   0.0    1    138     82    0    0    2   5.81    1.33   0.03   4.45  42.05  20.00  29.05  42.00  42.00  42.00  29.05   0.00
15:06:09   1.0   0.0   0.2  98.7   0.1    1   1906    804   27    5   18  15.77    3.86   1.15  10.76  40.05  20.00  29.05  40.00  40.00  42.00  29.05   0.00
15:06:10   0.0   3.0   0.3  96.7   0.0    2    649    604    6    7    5  31.61    8.55   4.02  19.04  43.05  20.00  29.05  43.00  43.00  42.00  29.05   0.00
15:06:11   0.3   0.4   0.5  98.7   0.1    1    934    661   13    8   13  18.58    4.62   1.45  12.51  42.05  20.00  29.05  42.00  42.00  42.00  29.05   0.00
15:06:12   0.0   0.0   0.0 100.0   0.0    1    179     94    0    0    0   6.27    1.44   0.04   4.80  42.05  20.00  29.05  42.00  42.00  42.00  29.05   0.00
15:06:13   0.0   0.0   0.1  99.8   0.1    1    155    133    0    0    0   7.77    1.79   0.04   5.93  42.05  20.00  29.05  42.00  42.00  43.00  29.05   0.00
15:06:14   0.0   0.0   0.0 100.0   0.0    1    216    142    1    0    0   7.94    1.84   0.04   6.07  43.05  20.00  29.05  42.00  42.00  43.00  29.05   0.00
15:06:15   0.0   0.0   0.0 100.0   0.0    1    163     98    0    0    0   8.06    1.85   0.03   6.18  42.05  20.00  29.05  42.00  42.00  43.00  29.05   0.00
15:06:16   0.0   0.0   0.0 100.0   0.0    1    197    110    0    0    0   6.22    1.44   0.03   4.75  41.05  20.00  29.05  41.00  41.00  43.00  30.05   0.00
15:06:17   0.0   0.0   0.0 100.0   0.0    1    121     71    0    0    0   5.59    1.28   0.02   4.29  42.05  20.00  29.05  42.00  41.00  42.00  30.05   0.00
15:06:18   0.0   0.0   0.0 100.0   0.0    1    136     88    0    0    0   6.02    1.38   0.03   4.61  42.05  20.00  29.05  42.00  42.00  42.00  30.05   0.00
15:06:19   0.1   0.0   0.0  99.9   0.0    1    229     98    0    0    0   5.96    1.37   0.05   4.54  41.05  20.00  29.05  41.00  41.00  42.00  30.05   0.00
15:06:20   0.0   0.0   0.0 100.0   0.0    1    147     85    0    0    0   8.43    1.95   0.03   6.44  41.05  20.00  29.05  41.00  41.00  42.00  30.05   0.00
15:06:21   0.0   0.0   0.0 100.0   0.0    1    168    102    0    0    0   6.18    1.42   0.03   4.73  40.05  20.00  29.05  40.00  40.00  42.00  29.05   0.00
15:06:22   0.0   0.0   0.0 100.0   0.0    1    188    108    0    0    0   5.98    1.37   0.03   4.57  40.05  20.00  29.05  40.00  40.00  42.00  29.05   0.00
15:06:23   0.0   0.0   0.0  99.9   0.0    1    235    132    0    0    0   8.55    1.98   0.03   6.55  42.05  20.00  29.05  42.00  42.00  42.00  29.05   0.00
15:06:24   0.0   0.0   0.0  99.9   0.1    1    559    212    0    0    4  10.02    2.32   0.07   7.63  42.05  20.00  30.05  42.00  42.00  42.00  29.05   0.00
15:06:25   0.0   0.0   0.0 100.0   0.0    1    136     78    0    0    1   6.03    1.39   0.03   4.61  42.05  20.00  30.05  42.00  42.00  42.00  29.05   0.00
15:06:26   0.0   0.0   0.0 100.0   0.0    1    189    112    0    0    1   6.68    1.55   0.03   5.10  42.05  20.00  30.05  42.00  40.00  42.00  30.05   0.00
15:06:27   0.0   0.0   0.0 100.0   0.0    1    157     90    0    0    0   5.57    1.28   0.02   4.27  42.05  20.00  30.05  42.00  42.00  42.00  30.05   0.00
15:06:28   0.0   0.0   0.0 100.0   0.0    1    120     75    0    0    0   5.79    1.33   0.02   4.43  41.05  20.00  30.05  41.00  41.00  42.00  30.05   0.00
15:06:29   0.1   0.0   0.0  99.9   0.0    1    180     97    0    0    1   8.86    2.06   0.06   6.73  42.05  20.00  30.05  42.00  42.00  42.00  30.05   0.00
