          Category;                      Type;  Run Identifier;      Total Energy (Watt⋅sec);  Elapsed (sec)
      native-image;                       N/A;             pgo;                   548490.456;       7209.000
     azul-prime-vm;                       N/A;         default;                   508563.725;       7229.000
 eclipse-openj9-vm;                       N/A;         default;                   600939.030;       7223.000
        graalvm-ce;                       N/A;         default;                   560422.248;       7216.000
      native-image;                       N/A;         default;                   389251.706;       7209.000
openjdk-hotspot-vm;                       N/A;         default;                   572909.298;       7216.000
    oracle-graalvm;                       N/A;         default;                   555508.861;       7219.000
      native-image;                       N/A;             pgo;                   264697.856;       7209.000
     azul-prime-vm;                       N/A;         default;                   179437.591;       7211.000
 eclipse-openj9-vm;                       N/A;         default;                   239399.203;       7210.000
        graalvm-ce;                       N/A;         default;                   300925.646;       7209.000
      native-image;                       N/A;         default;                   237179.426;       7209.000
openjdk-hotspot-vm;                       N/A;         default;                   300982.186;       7209.000
    oracle-graalvm;                       N/A;         default;                   297051.366;       7209.000
        graalvm-ce;    guarded_unparametrized;         default;                    44723.767;       1203.000
        graalvm-ce;    unguarded_parametrized;         default;                    44752.487;       1203.000
openjdk-hotspot-vm;                    lambda;         default;                    58493.837;       1203.000
     azul-prime-vm;  unguarded_unparametrized;         default;                    45889.207;       1203.000
        graalvm-ce;  unguarded_unparametrized;         default;                    50159.257;       1203.000
     azul-prime-vm;    unguarded_parametrized;         default;                    52203.927;       1203.000
openjdk-hotspot-vm;    guarded_unparametrized;         default;                    50712.957;       1203.000
      native-image;                    lambda;         default;                    61857.667;       1203.000
 eclipse-openj9-vm;  unguarded_unparametrized;         default;                    40805.807;       1203.000
 eclipse-openj9-vm;    unguarded_parametrized;         default;                    45561.137;       1203.000
     azul-prime-vm;                    lambda;         default;                    44793.517;       1203.000
      native-image;  unguarded_unparametrized;             pgo;                    43997.537;       1203.000
      native-image;  unguarded_unparametrized;         default;                    41759.387;       1203.000
openjdk-hotspot-vm;      guarded_parametrized;         default;                    51567.897;       1203.000
      native-image;    guarded_unparametrized;             pgo;                    44910.257;       1203.000
      native-image;      guarded_parametrized;             pgo;                    44605.357;       1203.000
      native-image;    unguarded_parametrized;             pgo;                    58228.077;       1203.000
openjdk-hotspot-vm;  unguarded_unparametrized;         default;                    44423.557;       1203.000
     azul-prime-vm;      guarded_parametrized;         default;                    65612.287;       1203.000
 eclipse-openj9-vm;    guarded_unparametrized;         default;                    40280.927;       1203.000
        graalvm-ce;                    lambda;         default;                    54662.887;       1203.000
openjdk-hotspot-vm;    unguarded_parametrized;         default;                    55020.627;       1203.000
 eclipse-openj9-vm;      guarded_parametrized;         default;                    42231.247;       1203.000
    oracle-graalvm;  unguarded_unparametrized;         default;                    42948.117;       1203.000
    oracle-graalvm;      guarded_parametrized;         default;                    43623.377;       1203.000
      native-image;    guarded_unparametrized;         default;                    61516.297;       1203.000
    oracle-graalvm;                    lambda;         default;                    60027.397;       1203.000
    oracle-graalvm;    guarded_unparametrized;         default;                    43020.397;       1203.000
        graalvm-ce;      guarded_parametrized;         default;                    43372.087;       1203.000
 eclipse-openj9-vm;                    lambda;         default;                    42525.167;       1203.000
    oracle-graalvm;    unguarded_parametrized;         default;                    46291.867;       1203.000
      native-image;                    lambda;             pgo;                    44921.037;       1203.000
     azul-prime-vm;    guarded_unparametrized;         default;                    44486.517;       1203.000
      native-image;    unguarded_parametrized;         default;                    63006.627;       1203.000
      native-image;      guarded_parametrized;         default;                    62914.317;       1203.000
      native-image;               random_page;             pgo;                    40383.520;       1206.000
      native-image;               random_heap;             pgo;                    31654.572;       1217.000
    oracle-graalvm;               random_heap;         default;                    40082.619;       1214.000
 eclipse-openj9-vm;                    linear;         default;                    43537.012;       1213.000
    oracle-graalvm;               random_page;         default;                    43010.947;       1215.000
 eclipse-openj9-vm;               random_page;         default;                    48191.479;       1214.000
     azul-prime-vm;               random_page;         default;                    43331.232;       1217.000
 eclipse-openj9-vm;               random_heap;         default;                    42716.244;       1216.000
     azul-prime-vm;               random_heap;         default;                    40317.994;       1220.000
     azul-prime-vm;                    linear;         default;                    33016.932;       1217.000
        graalvm-ce;               random_page;         default;                    45572.657;       1215.000
        graalvm-ce;                    linear;         default;                    56073.157;       1215.000
      native-image;                    linear;             pgo;                    47556.587;       1207.000
    oracle-graalvm;                    linear;         default;                    41849.269;       1214.000
      native-image;                    linear;         default;                    58611.632;       1205.000
        graalvm-ce;               random_heap;         default;                    39544.477;       1215.000
      native-image;               random_heap;         default;                    31703.107;       1207.000
openjdk-hotspot-vm;               random_heap;         default;                    40037.244;       1216.000
      native-image;               random_page;         default;                    28973.884;       1208.000
openjdk-hotspot-vm;                    linear;         default;                    56968.017;       1215.000
openjdk-hotspot-vm;               random_page;         default;                    46840.829;       1214.000
openjdk-hotspot-vm;                quick_sort;         default;                    66030.457;       1203.000
openjdk-hotspot-vm;                merge_sort;         default;                    48158.962;       1213.000
      native-image;                quick_sort;             pgo;                    65163.027;       1203.000
     azul-prime-vm;                radix_sort;         default;                    42612.482;       1205.000
      native-image;                merge_sort;         default;                    58464.360;       1206.000
    oracle-graalvm;                quick_sort;         default;                    65076.077;       1203.000
 eclipse-openj9-vm;                quick_sort;         default;                    47902.207;       1203.000
      native-image;                quick_sort;         default;                    46821.927;       1203.000
     azul-prime-vm;                merge_sort;         default;                    51438.749;       1214.000
 eclipse-openj9-vm;                radix_sort;         default;                    40370.199;       1214.000
        graalvm-ce;                quick_sort;         default;                    64883.777;       1203.000
openjdk-hotspot-vm;                radix_sort;         default;                    48033.774;       1212.000
      native-image;                merge_sort;             pgo;                    55906.577;       1215.000
      native-image;                radix_sort;         default;                    39788.947;       1207.000
      native-image;                radix_sort;             pgo;                    46904.382;       1217.000
    oracle-graalvm;                merge_sort;         default;                    48964.875;       1204.000
