     Test Category;                 Test Type;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Total (Watt⋅sec);  Elapsed (sec)
     azul-prime-vm;                    linear;               3;                    126.410;                 51.180;           177.590;         68.837
     azul-prime-vm;                    linear;               2;                    124.790;                 51.130;           175.920;         68.869
     azul-prime-vm;                    linear;               5;                    126.880;                 50.750;           177.630;         68.247
     azul-prime-vm;                    linear;               4;                    128.030;                 51.260;           179.290;         68.844
     azul-prime-vm;                    linear;               1;                    137.270;                 51.520;           188.790;         69.531
     azul-prime-vm;               random_heap;               3;                    757.520;                589.600;          1347.120;        697.493
     azul-prime-vm;               random_heap;               5;                    786.130;                598.300;          1384.430;        708.976
     azul-prime-vm;               random_heap;               1;                    788.430;                594.740;          1383.170;        705.321
     azul-prime-vm;               random_heap;               2;                    755.910;                592.220;          1348.130;        701.142
     azul-prime-vm;               random_heap;               4;                    774.490;                604.310;          1378.800;        714.589
     azul-prime-vm;               random_page;               3;                    164.260;                 75.570;           239.830;         97.608
     azul-prime-vm;               random_page;               5;                    168.330;                 77.410;           245.740;        100.722
     azul-prime-vm;               random_page;               1;                    174.740;                 76.300;           251.040;         99.033
     azul-prime-vm;               random_page;               4;                    165.400;                 76.040;           241.440;         98.058
     azul-prime-vm;               random_page;               2;                    163.320;                 75.870;           239.190;         97.996
 eclipse-openj9-vm;                    linear;               2;                    146.550;                 50.290;           196.840;         72.318
 eclipse-openj9-vm;                    linear;               3;                    144.850;                 50.610;           195.460;         72.282
 eclipse-openj9-vm;                    linear;               5;                    148.070;                 50.630;           198.700;         72.823
 eclipse-openj9-vm;                    linear;               4;                    149.000;                 49.900;           198.900;         71.494
 eclipse-openj9-vm;                    linear;               1;                    158.220;                 52.980;           211.200;         75.263
 eclipse-openj9-vm;               random_heap;               2;                    336.180;                269.790;           605.970;        216.918
 eclipse-openj9-vm;               random_heap;               4;                    340.160;                272.810;           612.970;        214.590
 eclipse-openj9-vm;               random_heap;               3;                    333.190;                271.740;           604.930;        214.420
 eclipse-openj9-vm;               random_heap;               1;                    341.150;                272.510;           613.660;        214.535
 eclipse-openj9-vm;               random_heap;               5;                    338.500;                272.810;           611.310;        215.797
