     Test Category;                 Test Type;  Run Identifier;     Energy package (Watt⋅sec);  Energy RAM (Watt⋅sec);   Elapsed (sec)
        graalvm-ce;               random_page;               5;                       127.260;                 63.350;          83.885
        graalvm-ce;               random_page;               1;                       130.780;                 64.580;          85.875
        graalvm-ce;               random_page;               2;                       131.600;                 65.530;          87.552
        graalvm-ce;               random_page;               3;                       125.270;                 63.860;          84.646
        graalvm-ce;               random_page;               4;                       131.640;                 63.440;          84.352
        graalvm-ee;                    linear;               1;                        85.440;                 37.780;          53.121
        graalvm-ee;                    linear;               5;                        85.280;                 37.470;          52.529
        graalvm-ee;                    linear;               4;                        86.200;                 36.820;          51.495
        graalvm-ee;                    linear;               2;                        84.980;                 37.270;          52.218
        graalvm-ee;                    linear;               3;                        83.170;                 36.670;          51.253
        graalvm-ee;               random_heap;               2;                       700.830;                562.220;         670.124
        graalvm-ee;               random_heap;               5;                       705.540;                569.450;         678.490
        graalvm-ee;               random_heap;               4;                       705.770;                575.750;         687.699
        graalvm-ee;               random_heap;               1;                       712.560;                578.320;         690.367
        graalvm-ee;               random_heap;               3;                       671.160;                559.360;         668.134
        graalvm-ee;               random_page;               1;                       129.580;                 64.720;          86.361
        graalvm-ee;               random_page;               4;                       131.080;                 64.750;          86.284
        graalvm-ee;               random_page;               2;                       126.120;                 63.170;          83.580
        graalvm-ee;               random_page;               3;                       124.180;                 62.940;          82.977
        graalvm-ee;               random_page;               5;                       130.430;                 64.750;          86.445
      native-image;                    linear;               3;                        48.250;                 24.240;          31.154
      native-image;                    linear;               1;                        46.640;                 24.200;          31.132
      native-image;                    linear;               2;                        46.470;                 24.410;          31.471
      native-image;                    linear;               5;                        60.650;                 26.040;          34.453
      native-image;                    linear;               4;                        63.360;                 26.050;          34.176
      native-image;               random_heap;               1;                       575.470;                531.250;         612.610
      native-image;               random_heap;               3;                       584.680;                535.300;         620.039
      native-image;               random_heap;               4;                       607.820;                530.810;         610.277
      native-image;               random_heap;               2;                       576.320;                532.140;         613.254
      native-image;               random_heap;               5;                       619.440;                531.210;         615.705
      native-image;               random_page;               3;                        83.860;                 48.980;          62.354
      native-image;               random_page;               1;                        81.020;                 49.450;          62.818
      native-image;               random_page;               4;                       101.120;                 49.500;          62.752
      native-image;               random_page;               2;                        85.630;                 50.560;          65.091
      native-image;               random_page;               5;                        95.650;                 49.290;          62.726
openjdk-hotspot-vm;                    linear;               5;                        85.550;                 37.670;          52.993
openjdk-hotspot-vm;                    linear;               4;                        84.050;                 36.810;          52.089
openjdk-hotspot-vm;                    linear;               2;                        74.610;                 37.590;          52.779
openjdk-hotspot-vm;                    linear;               3;                        77.440;                 37.470;          52.490
openjdk-hotspot-vm;                    linear;               1;                        75.580;                 38.080;          53.278
openjdk-hotspot-vm;               random_heap;               4;                       695.810;                577.310;         684.115
openjdk-hotspot-vm;               random_heap;               3;                       680.220;                582.590;         695.705
openjdk-hotspot-vm;               random_heap;               2;                       663.000;                576.350;         686.648
openjdk-hotspot-vm;               random_heap;               5;                       696.180;                576.760;         685.911
openjdk-hotspot-vm;               random_heap;               1;                       661.300;                577.310;         686.171
openjdk-hotspot-vm;               random_page;               3;                       110.270;                 63.630;          84.212
openjdk-hotspot-vm;               random_page;               2;                       106.530;                 63.360;          83.701
openjdk-hotspot-vm;               random_page;               5;                       122.760;                 63.540;          84.266
openjdk-hotspot-vm;               random_page;               1;                       108.920;                 63.880;          84.168
openjdk-hotspot-vm;               random_page;               4;                       122.620;                 62.170;          82.830
