     Test Category;                 Test Type;  Samples;  Mean (Watt⋅sec);  Score Error (90.0%);  Geometric Mean (Watt⋅sec);  Normalized Geometric Mean
     azul-prime-vm;                    linear;        5;          179.844;              ± 4.901;                    179.786;                      1.538
     azul-prime-vm;               random_heap;        5;         1368.330;             ± 18.133;                   1368.224;                     11.705
     azul-prime-vm;               random_page;        5;          243.448;              ± 4.723;                    243.408;                      2.082
 eclipse-openj9-vm;                    linear;        5;          200.220;              ± 6.005;                    200.143;                      1.712
 eclipse-openj9-vm;               random_heap;        5;          609.768;              ± 3.861;                    609.757;                      5.216
 eclipse-openj9-vm;               random_page;        5;          267.258;              ± 4.340;                    267.227;                      2.286
        graalvm-ce;                    linear;        5;          131.716;              ± 1.430;                    131.709;                      1.127
        graalvm-ce;               random_heap;        5;         1262.674;             ± 20.426;                   1262.529;                     10.801
        graalvm-ce;               random_page;        5;          193.462;              ± 3.253;                    193.438;                      1.655
        graalvm-ee;                    linear;        5;          122.216;              ± 1.313;                    122.210;                      1.045
        graalvm-ee;               random_heap;        5;         1268.192;             ± 22.279;                   1268.018;                     10.848
        graalvm-ee;               random_page;        5;          192.344;              ± 3.712;                    192.312;                      1.645
      native-image;                    linear;        5;           78.062;              ± 8.764;                     77.640;                      0.664
      native-image;               random_heap;        5;         1124.888;             ± 18.318;                   1124.757;                      9.622
      native-image;               random_page;        5;          139.012;              ± 8.103;                    138.807;                      1.187
openjdk-hotspot-vm;                    linear;        5;          116.970;              ± 4.576;                    116.892;                      1.000
openjdk-hotspot-vm;               random_heap;        5;         1257.366;             ± 16.491;                   1257.271;                     10.756
openjdk-hotspot-vm;               random_page;        5;          177.536;              ± 7.127;                    177.411;                      1.518

# Note: The reference value 'openjdk-hotspot-vm-linear' was considered for the normalized geometric mean
