          Category;                      Type;  Run Identifier;         Score;          Score Metric
    oracle-graalvm;             megamorphic_3;         default;    186040.764;  Throughput (ops/sec)
 eclipse-openj9-vm;             megamorphic_3;         default;     32468.942;  Throughput (ops/sec)
      native-image;                 bimorphic;         default;     64124.972;  Throughput (ops/sec)
    oracle-graalvm;             megamorphic_8;         default;     73302.761;  Throughput (ops/sec)
      native-image;             megamorphic_8;         default;     37113.289;  Throughput (ops/sec)
        graalvm-ce;             megamorphic_3;         default;     97651.098;  Throughput (ops/sec)
        graalvm-ce;             megamorphic_8;         default;     35870.339;  Throughput (ops/sec)
 eclipse-openj9-vm;               monomorphic;         default;    109973.615;  Throughput (ops/sec)
     azul-prime-vm;             megamorphic_3;         default;     90155.943;  Throughput (ops/sec)
 eclipse-openj9-vm;                 bimorphic;         default;     65088.895;  Throughput (ops/sec)
      native-image;               monomorphic;         default;     68070.066;  Throughput (ops/sec)
openjdk-hotspot-vm;             megamorphic_8;         default;     56027.456;  Throughput (ops/sec)
      native-image;             megamorphic_8;             pgo;     67421.185;  Throughput (ops/sec)
      native-image;                 bimorphic;             pgo;    157435.340;  Throughput (ops/sec)
     azul-prime-vm;             megamorphic_8;         default;     53866.261;  Throughput (ops/sec)
    oracle-graalvm;               monomorphic;         default;    223011.824;  Throughput (ops/sec)
      native-image;             megamorphic_3;             pgo;     97254.942;  Throughput (ops/sec)
    oracle-graalvm;                 bimorphic;         default;    170645.941;  Throughput (ops/sec)
     azul-prime-vm;               monomorphic;         default;    137843.174;  Throughput (ops/sec)
     azul-prime-vm;                 bimorphic;         default;     93307.240;  Throughput (ops/sec)
openjdk-hotspot-vm;                 bimorphic;         default;    166251.610;  Throughput (ops/sec)
      native-image;               monomorphic;             pgo;    163925.449;  Throughput (ops/sec)
openjdk-hotspot-vm;             megamorphic_3;         default;     76504.872;  Throughput (ops/sec)
openjdk-hotspot-vm;               monomorphic;         default;    230908.279;  Throughput (ops/sec)
      native-image;             megamorphic_3;         default;     50343.861;  Throughput (ops/sec)
        graalvm-ce;               monomorphic;         default;    192273.735;  Throughput (ops/sec)
        graalvm-ce;                 bimorphic;         default;    104348.776;  Throughput (ops/sec)
 eclipse-openj9-vm;             megamorphic_8;         default;     35965.312;  Throughput (ops/sec)
