          Category;                      Type;  Run Identifier;      Total Energy (Watt⋅sec);  Elapsed (sec)
        graalvm-ce;             megamorphic_8;         default;                 75254768.366;       1203.000
    oracle-graalvm;             megamorphic_3;         default;                 73443519.536;       1203.000
     azul-prime-vm;             megamorphic_8;         default;                 55525128.710;       1209.000
      native-image;             megamorphic_8;         default;                 81185125.286;       1203.000
        graalvm-ce;             megamorphic_3;         default;                 69843481.886;       1203.000
      native-image;             megamorphic_3;        pgo_g1gc;                 52677225.266;       1203.000
openjdk-hotspot-vm;             megamorphic_8;         default;                 55201407.986;       1203.000
openjdk-hotspot-vm;                 bimorphic;         default;                 54231669.686;       1203.000
      native-image;               monomorphic;        pgo_g1gc;                 55507439.156;       1203.000
      native-image;             megamorphic_3;         default;                 73295911.436;       1203.000
      native-image;               monomorphic;         default;                 73922674.436;       1203.000
     azul-prime-vm;             megamorphic_3;         default;                 76868554.818;       1204.000
    oracle-graalvm;             megamorphic_8;         default;                 81165432.176;       1203.000
     azul-prime-vm;               monomorphic;         default;                 71467615.498;       1204.000
      native-image;             megamorphic_8;        pgo_g1gc;                 55462410.866;       1203.000
      native-image;                 bimorphic;        pgo_g1gc;                 56302345.466;       1203.000
    oracle-graalvm;               monomorphic;         default;                 73456920.956;       1203.000
 eclipse-openj9-vm;             megamorphic_8;         default;                 54336898.818;       1204.000
    oracle-graalvm;                 bimorphic;         default;                 73988478.536;       1203.000
openjdk-hotspot-vm;               monomorphic;         default;                 51714765.116;       1203.000
 eclipse-openj9-vm;                   virtual;         default;                        0.000;          0.000
        graalvm-ce;                   virtual;         default;                138728001.364;       1205.000
openjdk-hotspot-vm;                  platform;         default;                115977480.864;       1205.000
      native-image;                  platform;        pgo_g1gc;                144063452.164;       1205.000
      native-image;                  platform;         default;                132022124.846;       1203.000
     azul-prime-vm;                  platform;         default;                146455602.286;       1206.000
      native-image;                   virtual;         default;                 88898171.856;       1214.000
      native-image;                   virtual;        pgo_g1gc;                143327136.914;       1205.000
        graalvm-ce;                  platform;         default;                134250020.696;       1203.000
    oracle-graalvm;                  platform;         default;                141652331.514;       1205.000
    oracle-graalvm;                   virtual;         default;                139264518.378;       1204.000
 eclipse-openj9-vm;                  platform;         default;                124584719.926;       1206.000
     azul-prime-vm;                   virtual;         default;                        0.000;          0.000
openjdk-hotspot-vm;                   virtual;         default;                140445440.986;       1206.000
