               JVM;                      Test;     Geometric Mean (Watt second); Normalized Geometric Mean
      native-image;      guarded_parametrized;                          165.649;                     1.110
      native-image;    guarded_unparametrized;                          113.289;                     0.759
      native-image;               lambda_heap;                          111.857;                     0.750
      native-image;              lambda_local;                          112.719;                     0.755
      native-image;             string_format;                          115.038;                     0.771
      native-image;    unguarded_parametrized;                          165.176;                     1.107
      native-image;  unguarded_unparametrized;                          112.682;                     0.755
openjdk-hotspot-vm;      guarded_parametrized;                          193.321;                     1.295
openjdk-hotspot-vm;    guarded_unparametrized;                          149.807;                     1.004
openjdk-hotspot-vm;               lambda_heap;                          149.231;                     1.000
openjdk-hotspot-vm;              lambda_local;                          145.668;                     0.976
openjdk-hotspot-vm;             string_format;                          157.316;                     1.054
openjdk-hotspot-vm;    unguarded_parametrized;                          192.601;                     1.291
openjdk-hotspot-vm;  unguarded_unparametrized;                          149.011;                     0.999


Note: The reference value 'openjdk-hotspot-vm-lambda_heap' was considered for the normalized geometric mean
