     Test Category;                 Test Type;  Samples;  Energy Mean (Watt⋅sec);  Energy Score Error (90.0%);  Elapsed Mean (sec);  Elapsed Score Error (90.0%)
     azul-prime-vm;                 bimorphic;        5;                  34.231;                       0.589;              20.336;                        0.445
     azul-prime-vm;            megamorphic_24;        5;                 174.638;                       2.489;             154.060;                        2.102
 eclipse-openj9-vm;                 bimorphic;        5;                 112.113;                       5.685;              92.635;                        1.744
 eclipse-openj9-vm;            megamorphic_24;        5;                 147.348;                      11.300;             133.440;                        3.247
        graalvm-ce;                 bimorphic;        5;                  22.859;                       0.627;              16.596;                        0.306
        graalvm-ce;            megamorphic_24;        5;                 149.902;                       5.159;             145.049;                        1.491
        graalvm-ee;                 bimorphic;        5;                  19.555;                       1.061;              13.175;                        0.263
        graalvm-ee;            megamorphic_24;        5;                 144.201;                       3.870;             141.996;                        0.838
      native-image;                 bimorphic;        5;                 124.933;                       2.415;             132.260;                        0.962
      native-image;            megamorphic_24;        5;                 122.140;                       4.179;             132.780;                        2.698
openjdk-hotspot-vm;                 bimorphic;        5;                  17.465;                       0.496;              12.573;                        0.165
openjdk-hotspot-vm;            megamorphic_24;        5;                 162.757;                       3.077;             162.926;                        0.392

# Note: The reference baseline has already been excluded from the energy scores
