          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;                    lambda;             pgo;                 43;       100.940;  Power (Watt)
      native-image;                    lambda;             pgo;                 44;        97.510;  Power (Watt)
      native-image;                    lambda;             pgo;                 45;        96.780;  Power (Watt)
      native-image;                    lambda;             pgo;                 46;       102.840;  Power (Watt)
      native-image;                    lambda;             pgo;                 47;       103.050;  Power (Watt)
      native-image;                    lambda;             pgo;                 48;       100.620;  Power (Watt)
      native-image;                    lambda;             pgo;                 49;        97.520;  Power (Watt)
      native-image;                    lambda;             pgo;                 50;       106.920;  Power (Watt)
      native-image;                    lambda;             pgo;                 51;       101.320;  Power (Watt)
      native-image;                    lambda;             pgo;                 52;       100.250;  Power (Watt)
      native-image;                    lambda;             pgo;                 53;       101.130;  Power (Watt)
      native-image;                    lambda;             pgo;                 54;       101.230;  Power (Watt)
      native-image;                    lambda;             pgo;                 55;       101.510;  Power (Watt)
      native-image;                    lambda;             pgo;                 56;       101.080;  Power (Watt)
      native-image;                    lambda;             pgo;                 57;       100.410;  Power (Watt)
      native-image;                    lambda;             pgo;                 58;       101.130;  Power (Watt)
      native-image;                    lambda;             pgo;                 59;       104.310;  Power (Watt)
      native-image;                    lambda;             pgo;                 60;       102.190;  Power (Watt)
      native-image;                    lambda;             pgo;                 61;       105.210;  Power (Watt)
      native-image;                    lambda;             pgo;                 62;       103.170;  Power (Watt)
      native-image;                    lambda;             pgo;                 63;       103.930;  Power (Watt)
      native-image;                    lambda;             pgo;                 64;       104.930;  Power (Watt)
      native-image;                    lambda;             pgo;                 65;       103.850;  Power (Watt)
      native-image;                    lambda;             pgo;                 66;       103.240;  Power (Watt)
      native-image;                    lambda;             pgo;                 67;        95.830;  Power (Watt)
      native-image;                    lambda;             pgo;                 68;       106.590;  Power (Watt)
      native-image;                    lambda;             pgo;                 69;       107.230;  Power (Watt)
      native-image;                    lambda;             pgo;                 70;        90.270;  Power (Watt)
      native-image;                    lambda;             pgo;                 71;       102.350;  Power (Watt)
      native-image;                    lambda;             pgo;                 72;        90.880;  Power (Watt)
      native-image;                    lambda;             pgo;                 73;        61.000;  Power (Watt)
      native-image;                    lambda;             pgo;                 74;        73.310;  Power (Watt)
      native-image;                    lambda;             pgo;                 75;        90.020;  Power (Watt)
      native-image;                    lambda;             pgo;                 76;        52.110;  Power (Watt)
      native-image;                    lambda;             pgo;                 77;        58.880;  Power (Watt)
        graalvm-ce;             override_fist;         default;                  1;         4.260;  Power (Watt)
        graalvm-ce;             override_fist;         default;                  2;         1.950;  Power (Watt)
        graalvm-ce;             override_fist;         default;                  3;         2.900;  Power (Watt)
        graalvm-ce;             override_fist;         default;                  4;        81.290;  Power (Watt)
        graalvm-ce;             override_fist;         default;                  5;        77.940;  Power (Watt)
        graalvm-ce;                     const;         default;                  1;         4.360;  Power (Watt)
        graalvm-ce;                     const;         default;                  2;         2.000;  Power (Watt)
        graalvm-ce;                     const;         default;                  3;         3.030;  Power (Watt)
        graalvm-ce;                     const;         default;                  4;       107.020;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  1;         7.310;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  2;         2.620;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  3;         2.890;  Power (Watt)
        graalvm-ce;                    lambda;         default;                  4;       101.070;  Power (Watt)
    oracle-graalvm;                       new;         default;                  1;         4.580;  Power (Watt)
