          Category;                      Type;  Run Identifier;         Score;          Score Metric
openjdk-hotspot-vm;                       new;         default;      6150.916;  Throughput (ops/sec)
    oracle-graalvm;             override_fist;         default;     77931.237;  Throughput (ops/sec)
    oracle-graalvm;                       new;         default;      6823.704;  Throughput (ops/sec)
openjdk-hotspot-vm;                    lambda;         default;      6385.897;  Throughput (ops/sec)
        graalvm-ce;             override_fist;         default;     92381.046;  Throughput (ops/sec)
    oracle-graalvm;                     const;         default;     11731.816;  Throughput (ops/sec)
     azul-prime-vm;                    lambda;         default;      1931.371;  Throughput (ops/sec)
 eclipse-openj9-vm;                    lambda;         default;      3564.242;  Throughput (ops/sec)
        graalvm-ce;                    lambda;         default;      7176.876;  Throughput (ops/sec)
      native-image;                     const;             pgo;     21774.959;  Throughput (ops/sec)
      native-image;             override_fist;             pgo;    490537.025;  Throughput (ops/sec)
     azul-prime-vm;             override_fist;         default;     52277.688;  Throughput (ops/sec)
    oracle-graalvm;                    lambda;         default;      5598.213;  Throughput (ops/sec)
        graalvm-ce;                     const;         default;     93392.132;  Throughput (ops/sec)
openjdk-hotspot-vm;             override_fist;         default;     43207.790;  Throughput (ops/sec)
openjdk-hotspot-vm;                     const;         default;     45231.744;  Throughput (ops/sec)
      native-image;                    lambda;         default;     11530.343;  Throughput (ops/sec)
     azul-prime-vm;                     const;         default;    130368.343;  Throughput (ops/sec)
      native-image;                       new;             pgo;     18377.216;  Throughput (ops/sec)
 eclipse-openj9-vm;                     const;         default;    132045.303;  Throughput (ops/sec)
 eclipse-openj9-vm;                       new;         default;      3336.641;  Throughput (ops/sec)
        graalvm-ce;                       new;         default;      7173.208;  Throughput (ops/sec)
      native-image;                    lambda;             pgo;     24509.137;  Throughput (ops/sec)
      native-image;             override_fist;         default;    413740.674;  Throughput (ops/sec)
      native-image;                     const;         default;     34792.596;  Throughput (ops/sec)
      native-image;                       new;         default;     11292.542;  Throughput (ops/sec)
 eclipse-openj9-vm;             override_fist;         default;     82370.229;  Throughput (ops/sec)
     azul-prime-vm;                       new;         default;      2431.039;  Throughput (ops/sec)
