          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
openjdk-hotspot-vm;             override_fist;         default;               4;       112.080;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                    lambda;         default;               6;       159.815;  Energy (Watt⋅sec)
     azul-prime-vm;             override_fist;         default;               8;       491.380;  Energy (Watt⋅sec)
      native-image;                     const;         default;              34;      3080.123;  Energy (Watt⋅sec)
      native-image;                    lambda;             pgo;              77;      6836.894;  Energy (Watt⋅sec)
        graalvm-ce;             override_fist;         default;               5;       163.327;  Energy (Watt⋅sec)
        graalvm-ce;                     const;         default;               4;       112.400;  Energy (Watt⋅sec)
        graalvm-ce;                    lambda;         default;               4;       109.880;  Energy (Watt⋅sec)
    oracle-graalvm;                       new;         default;               5;       171.727;  Energy (Watt⋅sec)
      native-image;                     const;             pgo;              80;      7046.656;  Energy (Watt⋅sec)
     azul-prime-vm;                       new;         default;               7;       404.592;  Energy (Watt⋅sec)
     azul-prime-vm;                    lambda;         default;               9;       585.727;  Energy (Watt⋅sec)
    oracle-graalvm;                    lambda;         default;               5;       173.287;  Energy (Watt⋅sec)
      native-image;             override_fist;         default;              35;      3126.011;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                     const;         default;               4;       114.440;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                       new;         default;               5;       193.347;  Energy (Watt⋅sec)
     azul-prime-vm;                     const;         default;               9;       599.407;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                       new;         default;               6;       177.185;  Energy (Watt⋅sec)
      native-image;                       new;             pgo;              83;      6948.099;  Energy (Watt⋅sec)
    oracle-graalvm;                     const;         default;               5;       184.337;  Energy (Watt⋅sec)
      native-image;             override_fist;             pgo;              79;      7038.989;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                    lambda;         default;               4;       115.260;  Energy (Watt⋅sec)
    oracle-graalvm;             override_fist;         default;               4;       103.810;  Energy (Watt⋅sec)
        graalvm-ce;                       new;         default;               5;       185.967;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                     const;         default;               6;       174.285;  Energy (Watt⋅sec)
 eclipse-openj9-vm;             override_fist;         default;               6;       177.685;  Energy (Watt⋅sec)
      native-image;                    lambda;         default;              36;      3126.508;  Energy (Watt⋅sec)
      native-image;                       new;         default;              34;      3097.113;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
