          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
     azul-prime-vm;                       new;         default;            1203;     42795.297;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                     const;         default;            1203;     42869.417;  Energy (Watt⋅sec)
     azul-prime-vm;             override_fist;         default;            1203;     41339.217;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                    lambda;         default;            1203;     60783.677;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                     const;         default;            1203;     63610.817;  Energy (Watt⋅sec)
    oracle-graalvm;                     const;         default;            1203;     42614.237;  Energy (Watt⋅sec)
      native-image;                     const;         default;            1203;     41396.017;  Energy (Watt⋅sec)
      native-image;                    lambda;         default;            1203;     42618.147;  Energy (Watt⋅sec)
     azul-prime-vm;                     const;         default;            1203;     63736.297;  Energy (Watt⋅sec)
        graalvm-ce;             override_fist;         default;            1203;     60347.937;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                       new;         default;            1203;     42707.937;  Energy (Watt⋅sec)
     azul-prime-vm;                    lambda;         default;            1203;     42484.417;  Energy (Watt⋅sec)
 eclipse-openj9-vm;             override_fist;         default;            1203;     42271.247;  Energy (Watt⋅sec)
openjdk-hotspot-vm;             override_fist;         default;            1203;     62768.807;  Energy (Watt⋅sec)
    oracle-graalvm;                       new;         default;            1203;     53363.217;  Energy (Watt⋅sec)
    oracle-graalvm;             override_fist;         default;            1203;     42344.997;  Energy (Watt⋅sec)
      native-image;             override_fist;             pgo;            1203;     45369.997;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                       new;         default;            1203;     60368.837;  Energy (Watt⋅sec)
        graalvm-ce;                    lambda;         default;            1203;     61107.107;  Energy (Watt⋅sec)
      native-image;                       new;         default;            1203;     42561.927;  Energy (Watt⋅sec)
      native-image;                     const;             pgo;            1203;     49342.517;  Energy (Watt⋅sec)
      native-image;                       new;             pgo;            1203;     56380.227;  Energy (Watt⋅sec)
        graalvm-ce;                       new;         default;            1203;     61349.747;  Energy (Watt⋅sec)
    oracle-graalvm;                    lambda;         default;            1203;     51181.647;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                    lambda;         default;            1203;     42891.077;  Energy (Watt⋅sec)
        graalvm-ce;                     const;         default;            1203;     60453.157;  Energy (Watt⋅sec)
      native-image;                    lambda;             pgo;            1203;     63300.317;  Energy (Watt⋅sec)
      native-image;             override_fist;         default;            1203;     54893.427;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
