     Test Category;  Samples;  Mean (Watt⋅sec);  Score Error (90.0%);  Geometric Mean (Watt⋅sec)
     azul-prime-vm;        3;        30228.186;              449.388;                  30227.400
 eclipse-openj9-vm;        3;        31980.561;              795.055;                  31978.249
        graalvm-ce;        3;        26178.974;             1057.448;                  26173.998
        graalvm-ee;        3;        24207.631;              235.004;                  24207.364
openjdk-hotspot-vm;        3;        26604.848;              565.692;                  26603.444

# Note: The reference baseline is already excluded from this report
