          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
openjdk-hotspot-vm;                  platform;         default;               4;       113.770;  Energy (Watt⋅sec)
      native-image;                  platform;         default;              37;      3245.016;  Energy (Watt⋅sec)
      native-image;                   virtual;             pgo;              86;      7791.271;  Energy (Watt⋅sec)
    oracle-graalvm;                   virtual;         default;               5;       204.787;  Energy (Watt⋅sec)
        graalvm-ce;                  platform;         default;               4;       106.870;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                  platform;         default;               6;       181.315;  Energy (Watt⋅sec)
      native-image;                  platform;             pgo;              81;      7094.794;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                   virtual;         default;               6;       173.745;  Energy (Watt⋅sec)
      native-image;                   virtual;         default;              35;      3200.281;  Energy (Watt⋅sec)
     azul-prime-vm;                   virtual;         default;              10;       697.055;  Energy (Watt⋅sec)
    oracle-graalvm;                  platform;         default;               5;       183.387;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                   virtual;         default;               4;       122.570;  Energy (Watt⋅sec)
     azul-prime-vm;                  platform;         default;               9;       585.127;  Energy (Watt⋅sec)
        graalvm-ce;                   virtual;         default;               5;       144.807;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
