          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;                   virtual;             pgo;                 43;        98.320;  Power (Watt)
      native-image;                   virtual;             pgo;                 44;       120.420;  Power (Watt)
      native-image;                   virtual;             pgo;                 45;       109.220;  Power (Watt)
      native-image;                   virtual;             pgo;                 46;       104.610;  Power (Watt)
      native-image;                   virtual;             pgo;                 47;       104.650;  Power (Watt)
      native-image;                   virtual;             pgo;                 48;       103.010;  Power (Watt)
      native-image;                   virtual;             pgo;                 49;       101.660;  Power (Watt)
      native-image;                   virtual;             pgo;                 50;        95.890;  Power (Watt)
      native-image;                   virtual;             pgo;                 51;        92.880;  Power (Watt)
      native-image;                   virtual;             pgo;                 52;       116.210;  Power (Watt)
      native-image;                   virtual;             pgo;                 53;       104.600;  Power (Watt)
      native-image;                   virtual;             pgo;                 54;       102.980;  Power (Watt)
      native-image;                   virtual;             pgo;                 55;       108.600;  Power (Watt)
      native-image;                   virtual;             pgo;                 56;       103.740;  Power (Watt)
      native-image;                   virtual;             pgo;                 57;       103.330;  Power (Watt)
      native-image;                   virtual;             pgo;                 58;       103.850;  Power (Watt)
      native-image;                   virtual;             pgo;                 59;       104.050;  Power (Watt)
      native-image;                   virtual;             pgo;                 60;       103.910;  Power (Watt)
      native-image;                   virtual;             pgo;                 61;       104.070;  Power (Watt)
      native-image;                   virtual;             pgo;                 62;       104.570;  Power (Watt)
      native-image;                   virtual;             pgo;                 63;       103.710;  Power (Watt)
      native-image;                   virtual;             pgo;                 64;       104.940;  Power (Watt)
      native-image;                   virtual;             pgo;                 65;       104.620;  Power (Watt)
      native-image;                   virtual;             pgo;                 66;       103.460;  Power (Watt)
      native-image;                   virtual;             pgo;                 67;       107.260;  Power (Watt)
      native-image;                   virtual;             pgo;                 68;       106.670;  Power (Watt)
      native-image;                   virtual;             pgo;                 69;       106.190;  Power (Watt)
      native-image;                   virtual;             pgo;                 70;       103.010;  Power (Watt)
      native-image;                   virtual;             pgo;                 71;       106.010;  Power (Watt)
      native-image;                   virtual;             pgo;                 72;       107.910;  Power (Watt)
      native-image;                   virtual;             pgo;                 73;        98.230;  Power (Watt)
      native-image;                   virtual;             pgo;                 74;       108.090;  Power (Watt)
      native-image;                   virtual;             pgo;                 75;       108.320;  Power (Watt)
      native-image;                   virtual;             pgo;                 76;       109.970;  Power (Watt)
      native-image;                   virtual;             pgo;                 77;       110.980;  Power (Watt)
      native-image;                   virtual;             pgo;                 78;       104.120;  Power (Watt)
      native-image;                   virtual;             pgo;                 79;        99.140;  Power (Watt)
      native-image;                   virtual;             pgo;                 80;       106.480;  Power (Watt)
      native-image;                   virtual;             pgo;                 81;        90.730;  Power (Watt)
      native-image;                   virtual;             pgo;                 82;        77.450;  Power (Watt)
      native-image;                   virtual;             pgo;                 83;        82.830;  Power (Watt)
      native-image;                   virtual;             pgo;                 84;        71.310;  Power (Watt)
      native-image;                   virtual;             pgo;                 85;        58.260;  Power (Watt)
      native-image;                   virtual;             pgo;                 86;        66.650;  Power (Watt)
    oracle-graalvm;                   virtual;         default;                  1;         6.490;  Power (Watt)
    oracle-graalvm;                   virtual;         default;                  2;         3.410;  Power (Watt)
    oracle-graalvm;                   virtual;         default;                  3;         2.830;  Power (Watt)
    oracle-graalvm;                   virtual;         default;                  4;        89.550;  Power (Watt)
    oracle-graalvm;                   virtual;         default;                  5;       107.520;  Power (Watt)
        graalvm-ce;                  platform;         default;                  1;         4.780;  Power (Watt)
        graalvm-ce;                  platform;         default;                  2;         2.220;  Power (Watt)
        graalvm-ce;                  platform;         default;                  3;         2.880;  Power (Watt)
        graalvm-ce;                  platform;         default;                  4;       101.000;  Power (Watt)
 eclipse-openj9-vm;                  platform;         default;                  1;         5.050;  Power (Watt)
 eclipse-openj9-vm;                  platform;         default;                  2;         2.670;  Power (Watt)
 eclipse-openj9-vm;                  platform;         default;                  3;         3.720;  Power (Watt)
 eclipse-openj9-vm;                  platform;         default;                  4;        51.350;  Power (Watt)
 eclipse-openj9-vm;                  platform;         default;                  5;        58.490;  Power (Watt)
 eclipse-openj9-vm;                  platform;         default;                  6;        66.050;  Power (Watt)
      native-image;                  platform;             pgo;                  1;         5.360;  Power (Watt)
      native-image;                  platform;             pgo;                  2;         1.570;  Power (Watt)
      native-image;                  platform;             pgo;                  3;         5.830;  Power (Watt)
      native-image;                  platform;             pgo;                  4;        76.710;  Power (Watt)
      native-image;                  platform;             pgo;                  5;        88.170;  Power (Watt)
      native-image;                  platform;             pgo;                  6;        90.340;  Power (Watt)
      native-image;                  platform;             pgo;                  7;        94.970;  Power (Watt)
      native-image;                  platform;             pgo;                  8;        91.180;  Power (Watt)
      native-image;                  platform;             pgo;                  9;        98.750;  Power (Watt)
      native-image;                  platform;             pgo;                 10;       105.420;  Power (Watt)
      native-image;                  platform;             pgo;                 11;       105.740;  Power (Watt)
      native-image;                  platform;             pgo;                 12;       103.600;  Power (Watt)
      native-image;                  platform;             pgo;                 13;       101.770;  Power (Watt)
      native-image;                  platform;             pgo;                 14;       104.370;  Power (Watt)
      native-image;                  platform;             pgo;                 15;        98.480;  Power (Watt)
      native-image;                  platform;             pgo;                 16;       104.430;  Power (Watt)
