          Category;                      Type;  Run Identifier;         Score;          Score Metric
openjdk-hotspot-vm;                   virtual;         default;         0.279;  Throughput (ops/sec)
    oracle-graalvm;                   virtual;         default;         0.332;  Throughput (ops/sec)
        graalvm-ce;                  platform;         default;         0.401;  Throughput (ops/sec)
      native-image;                   virtual;         default;         0.139;  Throughput (ops/sec)
      native-image;                  platform;        pgo_g1gc;         0.380;  Throughput (ops/sec)
 eclipse-openj9-vm;                  platform;         default;         0.303;  Throughput (ops/sec)
     azul-prime-vm;                  platform;         default;         0.422;  Throughput (ops/sec)
openjdk-hotspot-vm;                  platform;         default;         0.262;  Throughput (ops/sec)
        graalvm-ce;                   virtual;         default;         0.296;  Throughput (ops/sec)
    oracle-graalvm;                  platform;         default;         0.405;  Throughput (ops/sec)
      native-image;                   virtual;        pgo_g1gc;         0.320;  Throughput (ops/sec)
      native-image;                  platform;         default;         0.377;  Throughput (ops/sec)
