          Category;                      Type;  Run Identifier;  Energy Samples;         Score;       Score Metric
openjdk-hotspot-vm;                   virtual;         default;            1205;    115304.102;  Energy (Watt⋅sec)
    oracle-graalvm;                   virtual;         default;            1206;    113225.350;  Energy (Watt⋅sec)
    oracle-graalvm;                  platform;         default;            1203;    114639.027;  Energy (Watt⋅sec)
        graalvm-ce;                  platform;         default;            1204;    114119.115;  Energy (Watt⋅sec)
      native-image;                   virtual;             pgo;            1204;    124283.085;  Energy (Watt⋅sec)
     azul-prime-vm;                  platform;         default;            1205;    121956.882;  Energy (Watt⋅sec)
      native-image;                  platform;             pgo;            1205;    117548.242;  Energy (Watt⋅sec)
      native-image;                   virtual;         default;            1206;     83981.200;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                   virtual;         default;               0;         0.000;  Energy (Watt⋅sec)
        graalvm-ce;                   virtual;         default;            1205;    114394.862;  Energy (Watt⋅sec)
openjdk-hotspot-vm;                  platform;         default;            1204;    118076.375;  Energy (Watt⋅sec)
      native-image;                  platform;         default;            1205;    113167.202;  Energy (Watt⋅sec)
 eclipse-openj9-vm;                  platform;         default;            1203;    119199.037;  Energy (Watt⋅sec)
     azul-prime-vm;                   virtual;         default;               0;         0.000;  Energy (Watt⋅sec)

# Note: The power reference baseline has already been excluded from the energy scores
