          Category;                      Type;  Run Identifier;         Score;          Score Metric
openjdk-hotspot-vm;                   virtual;         default;         0.287;  Throughput (ops/sec)
    oracle-graalvm;                   virtual;         default;         0.335;  Throughput (ops/sec)
        graalvm-ce;                  platform;         default;         0.409;  Throughput (ops/sec)
      native-image;                  platform;             pgo;         0.396;  Throughput (ops/sec)
      native-image;                   virtual;         default;         0.232;  Throughput (ops/sec)
 eclipse-openj9-vm;                  platform;         default;         0.368;  Throughput (ops/sec)
     azul-prime-vm;                  platform;         default;         0.411;  Throughput (ops/sec)
openjdk-hotspot-vm;                  platform;         default;         0.400;  Throughput (ops/sec)
        graalvm-ce;                   virtual;         default;         0.295;  Throughput (ops/sec)
    oracle-graalvm;                  platform;         default;         0.399;  Throughput (ops/sec)
      native-image;                  platform;         default;         0.372;  Throughput (ops/sec)
      native-image;                   virtual;             pgo;         0.400;  Throughput (ops/sec)
