          Category;                      Type;  Run Identifier;  Power (Watt)
        graalvm-ce;    guarded_unparametrized;         default;         4.580
        graalvm-ce;    guarded_unparametrized;         default;         2.170
        graalvm-ce;    guarded_unparametrized;         default;         2.910
        graalvm-ce;    guarded_unparametrized;         default;        87.640
        graalvm-ce;    guarded_unparametrized;         default;        71.210
        graalvm-ce;    guarded_unparametrized;         default;        54.450
        graalvm-ce;    guarded_unparametrized;         default;        48.120
        graalvm-ce;    guarded_unparametrized;         default;        41.310
        graalvm-ce;    guarded_unparametrized;         default;        43.430
        graalvm-ce;    guarded_unparametrized;         default;        36.220
        graalvm-ce;    guarded_unparametrized;         default;        36.180
        graalvm-ce;    guarded_unparametrized;         default;        36.240
        graalvm-ce;    guarded_unparametrized;         default;        36.250
        graalvm-ce;    guarded_unparametrized;         default;        36.200
        graalvm-ce;    guarded_unparametrized;         default;        36.410
        graalvm-ce;    guarded_unparametrized;         default;        37.080
        graalvm-ce;    guarded_unparametrized;         default;        36.210
        graalvm-ce;    guarded_unparametrized;         default;        39.040
        graalvm-ce;    guarded_unparametrized;         default;        38.240
        graalvm-ce;    guarded_unparametrized;         default;        38.190
        graalvm-ce;    guarded_unparametrized;         default;        38.170
        graalvm-ce;    guarded_unparametrized;         default;        36.380
        graalvm-ce;    guarded_unparametrized;         default;        36.300
        graalvm-ce;    guarded_unparametrized;         default;        36.330
        graalvm-ce;    guarded_unparametrized;         default;        36.250
        graalvm-ce;    guarded_unparametrized;         default;        36.200
        graalvm-ce;    guarded_unparametrized;         default;        36.300
        graalvm-ce;    guarded_unparametrized;         default;        36.330
        graalvm-ce;    guarded_unparametrized;         default;        36.270
        graalvm-ce;    guarded_unparametrized;         default;        37.250
        graalvm-ce;    guarded_unparametrized;         default;        37.330
        graalvm-ce;    guarded_unparametrized;         default;        36.230
        graalvm-ce;    guarded_unparametrized;         default;        36.250
        graalvm-ce;    guarded_unparametrized;         default;        36.200
        graalvm-ce;    guarded_unparametrized;         default;        36.270
        graalvm-ce;    guarded_unparametrized;         default;        36.510
        graalvm-ce;    guarded_unparametrized;         default;        37.070
        graalvm-ce;    guarded_unparametrized;         default;        36.220
        graalvm-ce;    guarded_unparametrized;         default;        36.330
        graalvm-ce;    guarded_unparametrized;         default;        36.230
        graalvm-ce;    guarded_unparametrized;         default;        36.330
        graalvm-ce;    guarded_unparametrized;         default;        36.200
        graalvm-ce;    guarded_unparametrized;         default;        36.230
        graalvm-ce;    guarded_unparametrized;         default;        36.250
        graalvm-ce;    guarded_unparametrized;         default;        36.190
        graalvm-ce;    guarded_unparametrized;         default;        37.250
        graalvm-ce;    guarded_unparametrized;         default;        36.280
        graalvm-ce;    guarded_unparametrized;         default;        36.220
        graalvm-ce;    guarded_unparametrized;         default;        36.170
        graalvm-ce;    guarded_unparametrized;         default;        36.170
        graalvm-ce;    guarded_unparametrized;         default;        36.200
        graalvm-ce;    guarded_unparametrized;         default;        39.880
        graalvm-ce;    guarded_unparametrized;         default;        38.240
        graalvm-ce;    guarded_unparametrized;         default;        38.160
        graalvm-ce;    guarded_unparametrized;         default;        37.240
        graalvm-ce;    guarded_unparametrized;         default;        36.370
        graalvm-ce;    guarded_unparametrized;         default;        36.230
        graalvm-ce;    guarded_unparametrized;         default;        36.300
        graalvm-ce;    guarded_unparametrized;         default;        36.200
        graalvm-ce;    guarded_unparametrized;         default;        37.210
        graalvm-ce;    guarded_unparametrized;         default;        37.280
        graalvm-ce;    guarded_unparametrized;         default;        36.190
        graalvm-ce;    guarded_unparametrized;         default;        36.190
        graalvm-ce;    guarded_unparametrized;         default;        37.280
        graalvm-ce;    guarded_unparametrized;         default;        36.260
        graalvm-ce;    guarded_unparametrized;         default;        36.310
        graalvm-ce;    guarded_unparametrized;         default;        36.220
        graalvm-ce;    guarded_unparametrized;         default;        36.210
        graalvm-ce;    guarded_unparametrized;         default;        36.160
        graalvm-ce;    guarded_unparametrized;         default;        36.260
        graalvm-ce;    guarded_unparametrized;         default;        36.210
        graalvm-ce;    guarded_unparametrized;         default;        36.190
        graalvm-ce;    guarded_unparametrized;         default;        36.220
        graalvm-ce;    guarded_unparametrized;         default;        36.200
        graalvm-ce;    guarded_unparametrized;         default;        36.290
        graalvm-ce;    guarded_unparametrized;         default;        37.470
        graalvm-ce;    guarded_unparametrized;         default;        38.990
        graalvm-ce;    guarded_unparametrized;         default;        38.210
        graalvm-ce;    guarded_unparametrized;         default;        39.290
        graalvm-ce;    guarded_unparametrized;         default;        36.980
        graalvm-ce;    guarded_unparametrized;         default;        36.310
        graalvm-ce;    guarded_unparametrized;         default;        36.280
        graalvm-ce;    guarded_unparametrized;         default;        36.260
        graalvm-ce;    guarded_unparametrized;         default;        36.280
        graalvm-ce;    guarded_unparametrized;         default;        36.250
        graalvm-ce;    guarded_unparametrized;         default;        36.310
        graalvm-ce;    guarded_unparametrized;         default;        36.220
        graalvm-ce;    guarded_unparametrized;         default;        36.340
        graalvm-ce;    guarded_unparametrized;         default;        36.340
        graalvm-ce;    guarded_unparametrized;         default;        36.270
        graalvm-ce;    guarded_unparametrized;         default;        36.260
