Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
21:20:31   0.0   0.0   0.0 100.0   0.0    1    177    213    0    0    2  16.97    0.00   3.83   0.11  13.02  51.05  20.00  42.05  51.00  50.00  53.00  41.05   0.00
21:20:32   0.0   0.0   0.0  99.9   0.0    1    308    172    0    0    0  17.92    0.00   4.00   0.06  13.86  51.05  20.00  42.05  50.00  50.00  53.00  41.05   0.00
21:20:33   0.1   0.0   0.2  99.7   0.0    3    357    208   11    4    4  19.06    0.00   4.29   0.18  14.59  52.05  20.00  42.05  52.00  52.00  53.00  42.05   0.00
21:20:34  12.0   0.0   0.7  87.2   0.1    4  17992   3926   31    0    0  45.53    0.00  11.17   4.45  29.90  51.05  20.00  42.05  51.00  51.00  52.00  42.05   0.00
21:20:35  11.2   0.0   0.5  88.2   0.1    2   8979   2439   14    0    1  41.73    0.00  10.24   3.52  27.97  52.05  20.00  42.05  52.00  52.00  53.00  42.05   0.00
21:20:36   4.8   0.0   0.3  94.8   0.0    2   4917   1238   27    1    3  28.84    0.00   6.85   1.61  20.38  51.05  20.00  42.05  51.00  51.00  53.00  42.05   0.00
21:20:37   4.6   0.0   0.5  94.8   0.1    1   3805   1212    8    8    7  31.64    0.00   7.70   2.35  21.59  51.05  20.00  42.05  51.00  51.00  53.00  42.05   0.00
21:20:38   0.1   0.0   0.3  99.6   0.0    1    354    307    3    3    3  18.73    0.00   4.27   0.23  14.22  50.05  20.00  42.05  50.00  50.00  53.00  41.05   0.00
21:20:39   0.1   0.0   0.3  99.6   0.0    1    345    244    3    3    3  19.55    0.00   4.44   0.21  14.91  50.05  20.00  42.05  50.00  50.00  52.00  41.05   0.00
21:20:40   0.3   0.0   0.4  99.4   0.0    1    475    408    5    5    5  20.58    0.00   4.68   0.29  15.61  51.05  20.00  42.05  50.00  50.00  52.00  41.05   0.00
21:20:41   0.0   0.0   0.4  99.6   0.0    1    338    271    3    3    3  18.09    0.00   4.12   0.21  13.76  50.05  20.00  42.05  50.00  50.00  51.00  41.05   0.00
21:20:42   0.0   0.0   0.4  99.6   0.0    1    299    265    3    3    5  18.10    0.00   4.14   0.21  13.75  50.05  20.00  42.05  50.00  50.00  51.00  41.05   0.00
21:20:43   0.0   0.0   0.3  99.7   0.0    2    230    208    2    2    4  16.99    0.00   3.84   0.13  13.03  50.05  20.00  42.05  50.00  50.00  51.00  42.05   0.00
21:20:44   0.0   0.0   0.1  99.9   0.0    1    267    198    1    1    1  16.84    0.00   3.81   0.10  12.93  49.05  20.00  42.05  49.00  49.00  51.00  42.05   0.00
21:20:45   0.1   0.0   0.3  99.6   0.0    1    264    263    3    3    3  17.91    0.00   4.08   0.21  13.63  49.05  20.00  42.05  49.00  49.00  51.00  42.05   0.00
21:20:46   0.0   0.0   0.3  99.6   0.0    1    307    238    3    3    3  19.27    0.00   4.36   0.20  14.71  51.05  20.00  42.05  50.00  50.00  51.00  42.05   0.00
21:20:47   0.1   0.0   0.3  99.6   0.0    1    238    247    3    3    3  17.57    0.00   3.98   0.19  13.40  50.05  20.00  42.05  50.00  50.00  51.00  42.05   0.00
21:20:48   1.1   0.0   0.5  98.4   0.0    4   2104    884    9    3    3  19.84    0.00   4.60   0.51  14.73  50.05  20.00  42.05  50.00  50.00  51.00  41.05   0.00
21:20:49  36.0   0.0   3.5  60.4   0.1    9  63512   9482   15    3    3  57.11    0.00  13.88   7.24  35.99  52.05  20.00  42.05  52.00  52.00  51.00  41.05   0.00
21:20:50  33.5   0.0   2.3  64.2   0.0   10  44096  10609    3    3    3  52.41    0.00  12.74   6.15  33.52  52.05  20.00  42.05  52.00  52.00  51.00  41.05   0.00
21:20:51  30.9   0.0   2.3  66.8   0.0    2  43639  10526    3    3    7  53.52    0.00  12.92   6.35  34.26  53.05  20.00  42.05  53.00  53.00  52.00  41.05   0.00
21:20:52  31.2   0.0   2.3  66.6   0.0    7  49498  12190    3    3    7  54.57    0.00  13.21   6.53  34.82  52.05  20.00  42.05  52.00  52.00  52.00  41.05   0.00
21:20:53  31.5   0.0   2.8  65.6   0.0    9  55685  13361    3    3    3  55.31    0.01  13.33   6.61  35.36  52.05  20.00  42.05  52.00  52.00  52.00  41.05   0.00
21:20:54  30.7   0.0   2.3  67.0   0.0   10  56431  12941    3    3    3  52.46    0.00  12.59   5.95  33.91  52.05  20.00  42.05  52.00  52.00  53.00  41.05   0.00
21:20:55  30.9   0.0   2.0  67.1   0.0    9  65024  14148    2    2    2  53.72    0.00  12.76   6.03  34.93  52.05  20.00  42.05  52.00  52.00  53.00  41.05   0.00
21:20:56  29.3   0.0   2.4  68.2   0.0    9  69224  14646    1    1    1  53.28    0.00  12.69   5.96  34.63  53.05  20.00  42.05  53.00  53.00  53.00  41.05   0.00
21:20:57  29.9   0.0   2.5  67.7   0.0    8  85001  16161    5    3    3  54.26    0.00  12.98   6.08  35.19  53.05  20.00  42.05  53.00  53.00  53.00  41.05   0.00
21:20:58  28.4   0.0   2.4  69.1   0.0    7  92019  16377    6    4    8  54.55    0.00  12.97   6.04  35.55  52.05  20.00  42.05  52.00  52.00  53.00  41.05   0.00
21:20:59  26.1   0.0   2.6  71.3   0.0    4  90073  15938    3    3    3  52.80    0.00  12.55   5.75  34.50  53.05  20.00  42.05  53.00  53.00  53.00  41.05   0.00
21:21:00  25.7   0.0   3.0  71.3   0.0    5 125086  19702    4    4    4  53.77    0.00  12.86   5.90  35.01  53.05  20.00  42.05  53.00  53.00  53.00  41.05   0.00
21:21:01  24.8   0.0   3.4  71.8   0.0    7 159610  21694    3    3    3  54.23    0.00  13.08   5.95  35.20  53.05  20.00  42.05  53.00  53.00  53.00  41.05   0.00
21:21:02  24.1   0.0   3.3  72.6   0.0    8 158167  21717    4    4    4  53.75    0.00  12.89   5.80  35.05  53.05  20.00  42.05  53.00  53.00  53.00  41.05   0.00
21:21:03  22.7   0.0   3.1  74.1   0.0    5 158037  20590    3    3    3  52.80    0.00  12.53   5.38  34.89  52.05  20.00  42.05  52.00  52.00  53.00  41.05   0.00
21:21:04  21.6   0.0   4.1  74.3   0.0    4 191836  19580    3    3    3  52.20    0.00  12.51   5.23  34.46  54.05  20.00  42.05  54.00  54.00  54.00  41.05   0.00
21:21:05  14.8   0.0   3.8  81.4   0.0    5 202009  18713    1    1    1  49.33    0.00  11.62   4.49  33.22  53.05  20.00  42.05  53.00  53.00  54.00  41.05   0.00
21:21:06  10.7   0.0   4.1  85.3   0.0    5 196854  18170    3    3    3  44.79    0.00  10.33   3.26  31.21  52.05  20.00  42.05  53.00  53.00  54.00  41.05   0.00
21:21:07   9.8   0.0   4.2  86.0   0.0    4 225006  18844    3    3    5  45.80    0.00  10.54   3.37  31.89  54.05  20.00  42.05  53.00  53.00  54.00  41.05   0.00
21:21:08   8.2   0.0   3.9  87.9   0.0    7 182480  17646    3    3    3  43.37    0.00   9.84   2.87  30.66  53.05  20.00  42.05  53.00  53.00  53.00  41.05   0.00
21:21:09   9.0   0.0   4.2  86.7   0.0    1 211566  19230    3    3    3  46.16    0.00  10.55   3.41  32.20  53.05  20.00  42.05  53.00  53.00  53.00  42.05   0.00
21:21:10  10.5   0.0   3.8  85.6   0.1    7 217543  19002    4    4    4  47.18    0.00  10.80   3.61  32.76  53.05  20.00  42.05  53.00  53.00  53.00  42.05   0.00
21:21:11  10.2   0.0   3.0  86.8   0.0    3 198594  18634    4    4    4  45.63    0.00  10.48   3.44  31.71  53.05  20.00  42.05  53.00  53.00  53.00  42.05   0.00
21:21:12   9.5   0.0   3.8  86.7   0.0    7 185668  18969    3    3    3  45.11    0.00  10.25   3.26  31.60  53.05  20.00  42.05  53.00  53.00  54.00  42.05   0.00
21:21:13   9.8   0.0   4.1  86.2   0.0    7 182717  19434    3    3    3  45.23    0.00  10.17   3.16  31.90  53.05  20.00  42.05  53.00  53.00  54.00  42.05   0.00
21:21:14  10.5   0.0   3.1  86.3   0.0   10 201243  18945    2    2    2  45.27    0.00  10.29   3.28  31.70  53.05  20.00  42.05  53.00  53.00  54.00  42.05   0.00
21:21:15   9.5   0.0   3.3  87.2   0.0    3 182372  18783    1    1    1  44.49    0.01   9.92   2.89  31.66  54.05  20.00  42.05  54.00  54.00  54.00  42.05   0.00
21:21:16   9.4   0.0   3.4  87.2   0.0    3 188459  18204    3    3    3  44.38    0.00  10.09   3.07  31.21  54.05  20.00  42.05  54.00  54.00  53.00  42.05   0.00
21:21:17   9.8   0.0   3.4  86.7   0.0    4 198010  18333    6    4    4  46.14    0.00  10.61   3.61  31.92  53.05  20.00  42.05  53.00  53.00  53.00  42.05   0.00
21:21:18   9.4   0.0   3.6  87.0   0.0    2 206549  17790    3    3    3  46.28    0.00  10.76   3.74  31.78  52.05  20.00  42.05  52.00  52.00  54.00  42.05   0.00
21:21:19  10.1   0.0   3.8  86.1   0.0    4 208859  18371    3    3    6  46.69    0.00  10.78   3.71  32.20  54.05  20.00  42.05  53.00  53.00  54.00  41.05   0.00
21:21:20   9.4   0.0   3.5  87.1   0.0    1 197615  17808    3    3    3  45.19    0.00  10.38   3.33  31.48  54.05  20.00  42.05  54.00  54.00  54.00  41.05   0.00
